"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005 April","Dublin - apartments","Base Jan 2005 = 100","104.2"
"Residential Property Price Index","2005 April","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.2"
"Residential Property Price Index","2005 April","National excluding Dublin - houses","Base Jan 2005 = 100","101.8"
"Residential Property Price Index","2005 April","National excluding Dublin - apartments","Base Jan 2005 = 100","91.3"
"Residential Property Price Index","2005 April","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 April","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","National - all residential properties","Base Jan 2005 = 100","102.8"
"Residential Property Price Index","2005 May","National - houses","Base Jan 2005 = 100","103.2"
"Residential Property Price Index","2005 May","National - apartments","Base Jan 2005 = 100","100.2"
"Residential Property Price Index","2005 May","Dublin - all residential properties","Base Jan 2005 = 100","104.4"
"Residential Property Price Index","2005 May","Dublin - houses","Base Jan 2005 = 100","104.8"
"Residential Property Price Index","2005 May","Dublin - apartments","Base Jan 2005 = 100","104.2"
"Residential Property Price Index","2005 May","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.9"
"Residential Property Price Index","2005 May","National excluding Dublin - houses","Base Jan 2005 = 100","102.5"
"Residential Property Price Index","2005 May","National excluding Dublin - apartments","Base Jan 2005 = 100","91.9"
"Residential Property Price Index","2005 May","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 May","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","National - all residential properties","Base Jan 2005 = 100","103.7"
"Residential Property Price Index","2005 June","National - houses","Base Jan 2005 = 100","104.3"
"Residential Property Price Index","2005 June","National - apartments","Base Jan 2005 = 100","99.9"
"Residential Property Price Index","2005 June","Dublin - all residential properties","Base Jan 2005 = 100","104.5"
"Residential Property Price Index","2005 June","Dublin - houses","Base Jan 2005 = 100","105.1"
"Residential Property Price Index","2005 June","Dublin - apartments","Base Jan 2005 = 100","103.7"
"Residential Property Price Index","2005 June","Dublin City - houses","Base Jan 2005 = 100",""
