"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2010 August","Dublin City - houses","Base Jan 2005 = 100","74.8"
"Residential Property Price Index","2010 August","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","79.4"
"Residential Property Price Index","2010 August","Fingal - houses","Base Jan 2005 = 100","76.1"
"Residential Property Price Index","2010 August","South Dublin - houses","Base Jan 2005 = 100","80.6"
"Residential Property Price Index","2010 August","National excluding Dublin - all residential properties","Base Jan 2005 = 100","87.9"
"Residential Property Price Index","2010 August","National excluding Dublin - houses","Base Jan 2005 = 100","89.6"
"Residential Property Price Index","2010 August","National excluding Dublin - apartments","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2010 August","Border excluding Louth - houses","Base Jan 2005 = 100","87.5"
"Residential Property Price Index","2010 August","Midland - houses","Base Jan 2005 = 100","88.4"
"Residential Property Price Index","2010 August","West - houses","Base Jan 2005 = 100","90.4"
"Residential Property Price Index","2010 August","Mid-East including Louth - houses","Base Jan 2005 = 100","89.9"
"Residential Property Price Index","2010 August","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","93.5"
"Residential Property Price Index","2010 August","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","88.3"
"Residential Property Price Index","2010 August","South-West - houses","Base Jan 2005 = 100","90.6"
"Residential Property Price Index","2010 September","National - all residential properties","Base Jan 2005 = 100","83"
"Residential Property Price Index","2010 September","National - houses","Base Jan 2005 = 100","86.2"
"Residential Property Price Index","2010 September","National - apartments","Base Jan 2005 = 100","65.4"
"Residential Property Price Index","2010 September","Dublin - all residential properties","Base Jan 2005 = 100","75.2"
"Residential Property Price Index","2010 September","Dublin - houses","Base Jan 2005 = 100","79.6"
"Residential Property Price Index","2010 September","Dublin - apartments","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2010 September","Dublin City - houses","Base Jan 2005 = 100","75.3"
"Residential Property Price Index","2010 September","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","80.5"
"Residential Property Price Index","2010 September","Fingal - houses","Base Jan 2005 = 100","75.4"
"Residential Property Price Index","2010 September","South Dublin - houses","Base Jan 2005 = 100","80.1"
"Residential Property Price Index","2010 September","National excluding Dublin - all residential properties","Base Jan 2005 = 100","86.2"
"Residential Property Price Index","2010 September","National excluding Dublin - houses","Base Jan 2005 = 100","87.7"
"Residential Property Price Index","2010 September","National excluding Dublin - apartments","Base Jan 2005 = 100","66.5"
"Residential Property Price Index","2010 September","Border excluding Louth - houses","Base Jan 2005 = 100","86.9"
"Residential Property Price Index","2010 September","Midland - houses","Base Jan 2005 = 100","86.6"
"Residential Property Price Index","2010 September","West - houses","Base Jan 2005 = 100","89.7"
"Residential Property Price Index","2010 September","Mid-East including Louth - houses","Base Jan 2005 = 100","88.5"
"Residential Property Price Index","2010 September","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","92.3"
"Residential Property Price Index","2010 September","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","86.2"
"Residential Property Price Index","2010 September","South-West - houses","Base Jan 2005 = 100","87.8"
"Residential Property Price Index","2010 October","National - all residential properties","Base Jan 2005 = 100","81.6"
"Residential Property Price Index","2010 October","National - houses","Base Jan 2005 = 100","84.8"
"Residential Property Price Index","2010 October","National - apartments","Base Jan 2005 = 100","64.4"
"Residential Property Price Index","2010 October","Dublin - all residential properties","Base Jan 2005 = 100","74"
"Residential Property Price Index","2010 October","Dublin - houses","Base Jan 2005 = 100","78.4"
"Residential Property Price Index","2010 October","Dublin - apartments","Base Jan 2005 = 100","63.1"
"Residential Property Price Index","2010 October","Dublin City - houses","Base Jan 2005 = 100","74.5"
"Residential Property Price Index","2010 October","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","79.8"
"Residential Property Price Index","2010 October","Fingal - houses","Base Jan 2005 = 100","76"
"Residential Property Price Index","2010 October","South Dublin - houses","Base Jan 2005 = 100","79"
"Residential Property Price Index","2010 October","National excluding Dublin - all residential properties","Base Jan 2005 = 100","84.6"
"Residential Property Price Index","2010 October","National excluding Dublin - houses","Base Jan 2005 = 100","86.1"
"Residential Property Price Index","2010 October","National excluding Dublin - apartments","Base Jan 2005 = 100","65.4"
"Residential Property Price Index","2010 October","Border excluding Louth - houses","Base Jan 2005 = 100","85.1"
"Residential Property Price Index","2010 October","Midland - houses","Base Jan 2005 = 100","85.2"
"Residential Property Price Index","2010 October","West - houses","Base Jan 2005 = 100","87.4"
"Residential Property Price Index","2010 October","Mid-East including Louth - houses","Base Jan 2005 = 100","87.2"
"Residential Property Price Index","2010 October","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","91.5"
"Residential Property Price Index","2010 October","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","84.1"
"Residential Property Price Index","2010 October","South-West - houses","Base Jan 2005 = 100","86.2"
"Residential Property Price Index","2010 November","National - all residential properties","Base Jan 2005 = 100","79.9"
"Residential Property Price Index","2010 November","National - houses","Base Jan 2005 = 100","83"
"Residential Property Price Index","2010 November","National - apartments","Base Jan 2005 = 100","63.1"
"Residential Property Price Index","2010 November","Dublin - all residential properties","Base Jan 2005 = 100","72.5"
"Residential Property Price Index","2010 November","Dublin - houses","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2010 November","Dublin - apartments","Base Jan 2005 = 100","61.7"
"Residential Property Price Index","2010 November","Dublin City - houses","Base Jan 2005 = 100","74"
"Residential Property Price Index","2010 November","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","78.2"
"Residential Property Price Index","2010 November","Fingal - houses","Base Jan 2005 = 100","75.4"
"Residential Property Price Index","2010 November","South Dublin - houses","Base Jan 2005 = 100","78.4"
"Residential Property Price Index","2010 November","National excluding Dublin - all residential properties","Base Jan 2005 = 100","82.9"
"Residential Property Price Index","2010 November","National excluding Dublin - houses","Base Jan 2005 = 100","84.3"
"Residential Property Price Index","2010 November","National excluding Dublin - apartments","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2010 November","Border excluding Louth - houses","Base Jan 2005 = 100","83.6"
"Residential Property Price Index","2010 November","Midland - houses","Base Jan 2005 = 100","81"
"Residential Property Price Index","2010 November","West - houses","Base Jan 2005 = 100","85.8"
"Residential Property Price Index","2010 November","Mid-East including Louth - houses","Base Jan 2005 = 100","86.1"
"Residential Property Price Index","2010 November","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","89.6"
"Residential Property Price Index","2010 November","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","81.8"
"Residential Property Price Index","2010 November","South-West - houses","Base Jan 2005 = 100","84.7"
"Residential Property Price Index","2010 December","National - all residential properties","Base Jan 2005 = 100","78.7"
"Residential Property Price Index","2010 December","National - houses","Base Jan 2005 = 100","81.7"
"Residential Property Price Index","2010 December","National - apartments","Base Jan 2005 = 100","62.5"
"Residential Property Price Index","2010 December","Dublin - all residential properties","Base Jan 2005 = 100","71.2"
"Residential Property Price Index","2010 December","Dublin - houses","Base Jan 2005 = 100","75.2"
"Residential Property Price Index","2010 December","Dublin - apartments","Base Jan 2005 = 100","61.4"
"Residential Property Price Index","2010 December","Dublin City - houses","Base Jan 2005 = 100","73.5"
"Residential Property Price Index","2010 December","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2010 December","Fingal - houses","Base Jan 2005 = 100","74.5"
"Residential Property Price Index","2010 December","South Dublin - houses","Base Jan 2005 = 100","77.6"
"Residential Property Price Index","2010 December","National excluding Dublin - all residential properties","Base Jan 2005 = 100","81.8"
"Residential Property Price Index","2010 December","National excluding Dublin - houses","Base Jan 2005 = 100","83.2"
"Residential Property Price Index","2010 December","National excluding Dublin - apartments","Base Jan 2005 = 100","63.5"
"Residential Property Price Index","2010 December","Border excluding Louth - houses","Base Jan 2005 = 100","83"
"Residential Property Price Index","2010 December","Midland - houses","Base Jan 2005 = 100","80.1"
"Residential Property Price Index","2010 December","West - houses","Base Jan 2005 = 100","84"
"Residential Property Price Index","2010 December","Mid-East including Louth - houses","Base Jan 2005 = 100","84.2"
"Residential Property Price Index","2010 December","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","90.2"
"Residential Property Price Index","2010 December","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","80.4"
"Residential Property Price Index","2010 December","South-West - houses","Base Jan 2005 = 100","82.9"
"Residential Property Price Index","2011 January","National - all residential properties","Base Jan 2005 = 100","78"
"Residential Property Price Index","2011 January","National - houses","Base Jan 2005 = 100","80.8"
"Residential Property Price Index","2011 January","National - apartments","Base Jan 2005 = 100","62.5"
"Residential Property Price Index","2011 January","Dublin - all residential properties","Base Jan 2005 = 100","70.5"
"Residential Property Price Index","2011 January","Dublin - houses","Base Jan 2005 = 100","74"
"Residential Property Price Index","2011 January","Dublin - apartments","Base Jan 2005 = 100","61.9"
"Residential Property Price Index","2011 January","Dublin City - houses","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 January","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 January","Fingal - houses","Base Jan 2005 = 100","74.8"
"Residential Property Price Index","2011 January","South Dublin - houses","Base Jan 2005 = 100","76.3"
"Residential Property Price Index","2011 January","National excluding Dublin - all residential properties","Base Jan 2005 = 100","81.3"
"Residential Property Price Index","2011 January","National excluding Dublin - houses","Base Jan 2005 = 100","82.6"
"Residential Property Price Index","2011 January","National excluding Dublin - apartments","Base Jan 2005 = 100","63.8"
"Residential Property Price Index","2011 January","Border excluding Louth - houses","Base Jan 2005 = 100","84.1"
"Residential Property Price Index","2011 January","Midland - houses","Base Jan 2005 = 100","77.5"
"Residential Property Price Index","2011 January","West - houses","Base Jan 2005 = 100","81.9"
"Residential Property Price Index","2011 January","Mid-East including Louth - houses","Base Jan 2005 = 100","83.8"
"Residential Property Price Index","2011 January","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","87.1"
"Residential Property Price Index","2011 January","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","79.9"
"Residential Property Price Index","2011 January","South-West - houses","Base Jan 2005 = 100","81.4"
"Residential Property Price Index","2011 February","National - all residential properties","Base Jan 2005 = 100","76.5"
"Residential Property Price Index","2011 February","National - houses","Base Jan 2005 = 100","79.3"
"Residential Property Price Index","2011 February","National - apartments","Base Jan 2005 = 100","61.5"
"Residential Property Price Index","2011 February","Dublin - all residential properties","Base Jan 2005 = 100","69"
"Residential Property Price Index","2011 February","Dublin - houses","Base Jan 2005 = 100","72.4"
"Residential Property Price Index","2011 February","Dublin - apartments","Base Jan 2005 = 100","61.1"
"Residential Property Price Index","2011 February","Dublin City - houses","Base Jan 2005 = 100","71.9"
"Residential Property Price Index","2011 February","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","71.2"
"Residential Property Price Index","2011 February","Fingal - houses","Base Jan 2005 = 100","75.3"
"Residential Property Price Index","2011 February","South Dublin - houses","Base Jan 2005 = 100","75.9"
"Residential Property Price Index","2011 February","National excluding Dublin - all residential properties","Base Jan 2005 = 100","79.8"
"Residential Property Price Index","2011 February","National excluding Dublin - houses","Base Jan 2005 = 100","81.2"
"Residential Property Price Index","2011 February","National excluding Dublin - apartments","Base Jan 2005 = 100","61.8"
"Residential Property Price Index","2011 February","Border excluding Louth - houses","Base Jan 2005 = 100","84.1"
"Residential Property Price Index","2011 February","Midland - houses","Base Jan 2005 = 100","75.4"
"Residential Property Price Index","2011 February","West - houses","Base Jan 2005 = 100","79.1"
"Residential Property Price Index","2011 February","Mid-East including Louth - houses","Base Jan 2005 = 100","82.7"
"Residential Property Price Index","2011 February","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","85.4"
"Residential Property Price Index","2011 February","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","78.1"
"Residential Property Price Index","2011 February","South-West - houses","Base Jan 2005 = 100","80.2"
"Residential Property Price Index","2011 March","National - all residential properties","Base Jan 2005 = 100","74.7"
"Residential Property Price Index","2011 March","National - houses","Base Jan 2005 = 100","77.4"
"Residential Property Price Index","2011 March","National - apartments","Base Jan 2005 = 100","60.3"
"Residential Property Price Index","2011 March","Dublin - all residential properties","Base Jan 2005 = 100","67.1"
"Residential Property Price Index","2011 March","Dublin - houses","Base Jan 2005 = 100","70.4"
"Residential Property Price Index","2011 March","Dublin - apartments","Base Jan 2005 = 100","59.8"
"Residential Property Price Index","2011 March","Dublin City - houses","Base Jan 2005 = 100","70.2"
"Residential Property Price Index","2011 March","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","68.5"
"Residential Property Price Index","2011 March","Fingal - houses","Base Jan 2005 = 100","74.1"
"Residential Property Price Index","2011 March","South Dublin - houses","Base Jan 2005 = 100","75.2"
"Residential Property Price Index","2011 March","National excluding Dublin - all residential properties","Base Jan 2005 = 100","78.1"
"Residential Property Price Index","2011 March","National excluding Dublin - houses","Base Jan 2005 = 100","79.5"
"Residential Property Price Index","2011 March","National excluding Dublin - apartments","Base Jan 2005 = 100","60.1"
"Residential Property Price Index","2011 March","Border excluding Louth - houses","Base Jan 2005 = 100","82.8"
"Residential Property Price Index","2011 March","Midland - houses","Base Jan 2005 = 100","72.8"
"Residential Property Price Index","2011 March","West - houses","Base Jan 2005 = 100","76.4"
"Residential Property Price Index","2011 March","Mid-East including Louth - houses","Base Jan 2005 = 100","80.6"
"Residential Property Price Index","2011 March","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","84.8"
"Residential Property Price Index","2011 March","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","77.7"
"Residential Property Price Index","2011 March","South-West - houses","Base Jan 2005 = 100","78.7"
"Residential Property Price Index","2011 April","National - all residential properties","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 April","National - houses","Base Jan 2005 = 100","76.2"
"Residential Property Price Index","2011 April","National - apartments","Base Jan 2005 = 100","59.9"
"Residential Property Price Index","2011 April","Dublin - all residential properties","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2011 April","Dublin - houses","Base Jan 2005 = 100","69.8"
"Residential Property Price Index","2011 April","Dublin - apartments","Base Jan 2005 = 100","59.7"
"Residential Property Price Index","2011 April","Dublin City - houses","Base Jan 2005 = 100","68.8"
"Residential Property Price Index","2011 April","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","67.6"
"Residential Property Price Index","2011 April","Fingal - houses","Base Jan 2005 = 100","73.4"
"Residential Property Price Index","2011 April","South Dublin - houses","Base Jan 2005 = 100","74.3"
"Residential Property Price Index","2011 April","National excluding Dublin - all residential properties","Base Jan 2005 = 100","76.6"
"Residential Property Price Index","2011 April","National excluding Dublin - houses","Base Jan 2005 = 100","78"
"Residential Property Price Index","2011 April","National excluding Dublin - apartments","Base Jan 2005 = 100","59.7"
"Residential Property Price Index","2011 April","Border excluding Louth - houses","Base Jan 2005 = 100","82.9"
"Residential Property Price Index","2011 April","Midland - houses","Base Jan 2005 = 100","70.1"
"Residential Property Price Index","2011 April","West - houses","Base Jan 2005 = 100","77.8"
"Residential Property Price Index","2011 April","Mid-East including Louth - houses","Base Jan 2005 = 100","78.7"
"Residential Property Price Index","2011 April","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","83"
"Residential Property Price Index","2011 April","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 April","South-West - houses","Base Jan 2005 = 100","77.3"
"Residential Property Price Index","2011 May","National - all residential properties","Base Jan 2005 = 100","72.4"
"Residential Property Price Index","2011 May","National - houses","Base Jan 2005 = 100","75"
"Residential Property Price Index","2011 May","National - apartments","Base Jan 2005 = 100","58.7"
"Residential Property Price Index","2011 May","Dublin - all residential properties","Base Jan 2005 = 100","65.5"
"Residential Property Price Index","2011 May","Dublin - houses","Base Jan 2005 = 100","68.7"
"Residential Property Price Index","2011 May","Dublin - apartments","Base Jan 2005 = 100","58.7"
"Residential Property Price Index","2011 May","Dublin City - houses","Base Jan 2005 = 100","67.4"
"Residential Property Price Index","2011 May","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","66.8"
"Residential Property Price Index","2011 May","Fingal - houses","Base Jan 2005 = 100","71.7"
"Residential Property Price Index","2011 May","South Dublin - houses","Base Jan 2005 = 100","72.7"
"Residential Property Price Index","2011 May","National excluding Dublin - all residential properties","Base Jan 2005 = 100","75.2"
"Residential Property Price Index","2011 May","National excluding Dublin - houses","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2011 May","National excluding Dublin - apartments","Base Jan 2005 = 100","57.3"
"Residential Property Price Index","2011 May","Border excluding Louth - houses","Base Jan 2005 = 100","81.1"
"Residential Property Price Index","2011 May","Midland - houses","Base Jan 2005 = 100","67.3"
"Residential Property Price Index","2011 May","West - houses","Base Jan 2005 = 100","77.1"
"Residential Property Price Index","2011 May","Mid-East including Louth - houses","Base Jan 2005 = 100","77.5"
"Residential Property Price Index","2011 May","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","80.3"
"Residential Property Price Index","2011 May","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","71.7"
"Residential Property Price Index","2011 May","South-West - houses","Base Jan 2005 = 100","76.8"
"Residential Property Price Index","2011 June","National - all residential properties","Base Jan 2005 = 100","71.3"
"Residential Property Price Index","2011 June","National - houses","Base Jan 2005 = 100","74"
"Residential Property Price Index","2011 June","National - apartments","Base Jan 2005 = 100","57.5"
"Residential Property Price Index","2011 June","Dublin - all residential properties","Base Jan 2005 = 100","64.6"
"Residential Property Price Index","2011 June","Dublin - houses","Base Jan 2005 = 100","67.8"
"Residential Property Price Index","2011 June","Dublin - apartments","Base Jan 2005 = 100","57.4"
"Residential Property Price Index","2011 June","Dublin City - houses","Base Jan 2005 = 100","66.4"
"Residential Property Price Index","2011 June","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","65.8"
"Residential Property Price Index","2011 June","Fingal - houses","Base Jan 2005 = 100","70.4"
"Residential Property Price Index","2011 June","South Dublin - houses","Base Jan 2005 = 100","71.3"
"Residential Property Price Index","2011 June","National excluding Dublin - all residential properties","Base Jan 2005 = 100","74.1"
"Residential Property Price Index","2011 June","National excluding Dublin - houses","Base Jan 2005 = 100","75.6"
"Residential Property Price Index","2011 June","National excluding Dublin - apartments","Base Jan 2005 = 100","55.3"
"Residential Property Price Index","2011 June","Border excluding Louth - houses","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2011 June","Midland - houses","Base Jan 2005 = 100","67.6"
"Residential Property Price Index","2011 June","West - houses","Base Jan 2005 = 100","76.1"
"Residential Property Price Index","2011 June","Mid-East including Louth - houses","Base Jan 2005 = 100","76.8"
"Residential Property Price Index","2011 June","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","79"
"Residential Property Price Index","2011 June","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","71.7"
"Residential Property Price Index","2011 June","South-West - houses","Base Jan 2005 = 100","75.1"
"Residential Property Price Index","2011 July","National - all residential properties","Base Jan 2005 = 100","69.8"
"Residential Property Price Index","2011 July","National - houses","Base Jan 2005 = 100","72.5"
"Residential Property Price Index","2011 July","National - apartments","Base Jan 2005 = 100","56"
"Residential Property Price Index","2011 July","Dublin - all residential properties","Base Jan 2005 = 100","63.6"
"Residential Property Price Index","2011 July","Dublin - houses","Base Jan 2005 = 100","66.8"
"Residential Property Price Index","2011 July","Dublin - apartments","Base Jan 2005 = 100","56.4"
"Residential Property Price Index","2011 July","Dublin City - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011 July","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","64.6"
"Residential Property Price Index","2011 July","Fingal - houses","Base Jan 2005 = 100","69.1"
"Residential Property Price Index","2011 July","South Dublin - houses","Base Jan 2005 = 100","71"
"Residential Property Price Index","2011 July","National excluding Dublin - all residential properties","Base Jan 2005 = 100","72.2"
"Residential Property Price Index","2011 July","National excluding Dublin - houses","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 July","National excluding Dublin - apartments","Base Jan 2005 = 100","52.1"
"Residential Property Price Index","2011 July","Border excluding Louth - houses","Base Jan 2005 = 100","75.4"
"Residential Property Price Index","2011 July","Midland - houses","Base Jan 2005 = 100","66"
"Residential Property Price Index","2011 July","West - houses","Base Jan 2005 = 100","75.6"
"Residential Property Price Index","2011 July","Mid-East including Louth - houses","Base Jan 2005 = 100","74.6"
"Residential Property Price Index","2011 July","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","76.3"
"Residential Property Price Index","2011 July","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","69.9"
"Residential Property Price Index","2011 July","South-West - houses","Base Jan 2005 = 100","74"
"Residential Property Price Index","2011 August","National - all residential properties","Base Jan 2005 = 100","68"
"Residential Property Price Index","2011 August","National - houses","Base Jan 2005 = 100","70.7"
"Residential Property Price Index","2011 August","National - apartments","Base Jan 2005 = 100","54.4"
"Residential Property Price Index","2011 August","Dublin - all residential properties","Base Jan 2005 = 100","62.3"
"Residential Property Price Index","2011 August","Dublin - houses","Base Jan 2005 = 100","65.3"
"Residential Property Price Index","2011 August","Dublin - apartments","Base Jan 2005 = 100","56.1"
"Residential Property Price Index","2011 August","Dublin City - houses","Base Jan 2005 = 100","63.6"
"Residential Property Price Index","2011 August","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","62.8"
"Residential Property Price Index","2011 August","Fingal - houses","Base Jan 2005 = 100","67.3"
"Residential Property Price Index","2011 August","South Dublin - houses","Base Jan 2005 = 100","69.7"
"Residential Property Price Index","2011 August","National excluding Dublin - all residential properties","Base Jan 2005 = 100","70"
"Residential Property Price Index","2011 August","National excluding Dublin - houses","Base Jan 2005 = 100","71.9"
"Residential Property Price Index","2011 August","National excluding Dublin - apartments","Base Jan 2005 = 100","46.1"
"Residential Property Price Index","2011 August","Border excluding Louth - houses","Base Jan 2005 = 100","70.7"
"Residential Property Price Index","2011 August","Midland - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011 August","West - houses","Base Jan 2005 = 100","74.2"
"Residential Property Price Index","2011 August","Mid-East including Louth - houses","Base Jan 2005 = 100","72.7"
"Residential Property Price Index","2011 August","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","73.7"
"Residential Property Price Index","2011 August","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","68.2"
"Residential Property Price Index","2011 August","South-West - houses","Base Jan 2005 = 100","73.8"
"Residential Property Price Index","2011 September","National - all residential properties","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2011 September","National - houses","Base Jan 2005 = 100","69.4"
"Residential Property Price Index","2011 September","National - apartments","Base Jan 2005 = 100","52.4"
"Residential Property Price Index","2011 September","Dublin - all residential properties","Base Jan 2005 = 100","60.6"
"Residential Property Price Index","2011 September","Dublin - houses","Base Jan 2005 = 100","63.5"
"Residential Property Price Index","2011 September","Dublin - apartments","Base Jan 2005 = 100","54.4"
"Residential Property Price Index","2011 September","Dublin City - houses","Base Jan 2005 = 100","62.1"
"Residential Property Price Index","2011 September","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","61.4"
"Residential Property Price Index","2011 September","Fingal - houses","Base Jan 2005 = 100","65.2"
"Residential Property Price Index","2011 September","South Dublin - houses","Base Jan 2005 = 100","68.3"
"Residential Property Price Index","2011 September","National excluding Dublin - all residential properties","Base Jan 2005 = 100","68.9"
"Residential Property Price Index","2011 September","National excluding Dublin - houses","Base Jan 2005 = 100","70.9"
"Residential Property Price Index","2011 September","National excluding Dublin - apartments","Base Jan 2005 = 100","42.8"
"Residential Property Price Index","2011 September","Border excluding Louth - houses","Base Jan 2005 = 100","67.6"
"Residential Property Price Index","2011 September","Midland - houses","Base Jan 2005 = 100","63.8"
"Residential Property Price Index","2011 September","West - houses","Base Jan 2005 = 100","75.1"
"Residential Property Price Index","2011 September","Mid-East including Louth - houses","Base Jan 2005 = 100","71.1"
"Residential Property Price Index","2011 September","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","72.8"
"Residential Property Price Index","2011 September","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","66.5"
"Residential Property Price Index","2011 September","South-West - houses","Base Jan 2005 = 100","72.9"
"Residential Property Price Index","2011 October","National - all residential properties","Base Jan 2005 = 100","65.4"
"Residential Property Price Index","2011 October","National - houses","Base Jan 2005 = 100","68.1"
"Residential Property Price Index","2011 October","National - apartments","Base Jan 2005 = 100","51"
"Residential Property Price Index","2011 October","Dublin - all residential properties","Base Jan 2005 = 100","59.4"
"Residential Property Price Index","2011 October","Dublin - houses","Base Jan 2005 = 100","62.3"
"Residential Property Price Index","2011 October","Dublin - apartments","Base Jan 2005 = 100","53.5"
"Residential Property Price Index","2011 October","Dublin City - houses","Base Jan 2005 = 100","60.6"
"Residential Property Price Index","2011 October","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","59.7"
"Residential Property Price Index","2011 October","Fingal - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011 October","South Dublin - houses","Base Jan 2005 = 100","66.7"
"Residential Property Price Index","2011 October","National excluding Dublin - all residential properties","Base Jan 2005 = 100","67.7"
"Residential Property Price Index","2011 October","National excluding Dublin - houses","Base Jan 2005 = 100","69.8"
"Residential Property Price Index","2011 October","National excluding Dublin - apartments","Base Jan 2005 = 100","40.6"
"Residential Property Price Index","2011 October","Border excluding Louth - houses","Base Jan 2005 = 100","64.3"
"Residential Property Price Index","2011 October","Midland - houses","Base Jan 2005 = 100","62.7"
"Residential Property Price Index","2011 October","West - houses","Base Jan 2005 = 100","73.5"
"Residential Property Price Index","2011 October","Mid-East including Louth - houses","Base Jan 2005 = 100","68.7"
"Residential Property Price Index","2011 October","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","72.4"
"Residential Property Price Index","2011 October","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","65.9"
"Residential Property Price Index","2011 October","South-West - houses","Base Jan 2005 = 100","73.1"
"Residential Property Price Index","2011 November","National - all residential properties","Base Jan 2005 = 100","64.3"
"Residential Property Price Index","2011 November","National - houses","Base Jan 2005 = 100","66.9"
"Residential Property Price Index","2011 November","National - apartments","Base Jan 2005 = 100","50"
"Residential Property Price Index","2011 November","Dublin - all residential properties","Base Jan 2005 = 100","58.1"
"Residential Property Price Index","2011 November","Dublin - houses","Base Jan 2005 = 100","60.8"
"Residential Property Price Index","2011 November","Dublin - apartments","Base Jan 2005 = 100","52.4"
"Residential Property Price Index","2011 November","Dublin City - houses","Base Jan 2005 = 100","59"
"Residential Property Price Index","2011 November","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","58.5"
"Residential Property Price Index","2011 November","Fingal - houses","Base Jan 2005 = 100","63"
"Residential Property Price Index","2011 November","South Dublin - houses","Base Jan 2005 = 100","65.4"
"Residential Property Price Index","2011 November","National excluding Dublin - all residential properties","Base Jan 2005 = 100","66.9"
"Residential Property Price Index","2011 November","National excluding Dublin - houses","Base Jan 2005 = 100","68.9"
"Residential Property Price Index","2011 November","National excluding Dublin - apartments","Base Jan 2005 = 100","40.8"
"Residential Property Price Index","2011 November","Border excluding Louth - houses","Base Jan 2005 = 100","63.7"
"Residential Property Price Index","2011 November","Midland - houses","Base Jan 2005 = 100","61.2"
"Residential Property Price Index","2011 November","West - houses","Base Jan 2005 = 100","73.2"
"Residential Property Price Index","2011 November","Mid-East including Louth - houses","Base Jan 2005 = 100","67.6"
"Residential Property Price Index","2011 November","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","69.9"
"Residential Property Price Index","2011 November","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011 November","South-West - houses","Base Jan 2005 = 100","72.1"
"Residential Property Price Index","2011 December","National - all residential properties","Base Jan 2005 = 100","63.3"
