2001M07,5.84
2001M08,5.84
2001M09,5.57
2001M10,5.37
2001M11,4.9
2001M12,4.69
2002M01,4.69
2002M02,4.69
2002M03,4.69
2002M04,4.69
2002M05,4.69
2002M06,4.7
2002M07,4.7
2002M08,4.7
2002M09,4.7
2002M10,4.7
2002M11,4.65
2002M12,4.28
2003M01,4.2
2003M02,4.2
2003M03,4.02
2003M04,3.98
2003M05,3.98
2003M06,3.55
2003M07,3.49
2003M08,3.49
2003M09,3.49
2003M10,3.49
2003M11,3.49
2003M12,3.49
2004M01,3.49
2004M02,3.49
2004M03,3.49
2004M04,3.47
2004M05,3.47
2004M06,3.47
2004M07,3.47
2004M08,3.47
2004M09,3.47
2004M10,3.47
2004M11,3.47
2004M12,3.47
2005M01,3.47
2005M02,3.47
2005M03,3.47
2005M04,3.47
2005M05,3.47
2005M06,3.47
2005M07,3.47
2005M08,3.47
2005M09,3.47
2005M10,3.47
2005M11,3.47
2005M12,3.65
2006M01,3.69
2006M02,3.69
2006M03,3.84
2006M04,3.93
2006M05,3.93
2006M06,4.18
2006M07,4.18
2006M08,4.42
2006M09,4.42
2006M10,4.66
2006M11,4.66
2006M12,4.86
2007M01,4.9
2007M02,4.9
2007M03,5.15
2007M04,5.15
2007M05,5.15
2007M06,5.34
2007M07,5.39
2007M08,5.39
2007M09,5.39
2007M10,5.39
2007M11,5.39
2007M12,5.39
2008M01,5.44
2008M02,5.46
2008M03,5.46
