"Statistic Label","Item","Quarter","UNIT","VALUE"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q1","Euro Million","4846.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q2","Euro Million","4909.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q3","Euro Million","5154.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1990Q4","Euro Million","5457.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q1","Euro Million","5651"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q2","Euro Million","5826.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q3","Euro Million","6022.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1991Q4","Euro Million","6295.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q1","Euro Million","6541.2"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q2","Euro Million","6920.5"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q3","Euro Million","7052"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1992Q4","Euro Million","7250.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q1","Euro Million","7385.7"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q2","Euro Million","7572.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q3","Euro Million","7768"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1993Q4","Euro Million","8139.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1994Q1","Euro Million","8299"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1994Q2","Euro Million","8542.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1994Q3","Euro Million","8732.8"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1994Q4","Euro Million","9158.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1995Q1","Euro Million","9152.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1995Q2","Euro Million","9278.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1995Q3","Euro Million","9419.3"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1995Q4","Euro Million","9632.9"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1996Q1","Euro Million","9638.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1996Q2","Euro Million","9777"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1996Q3","Euro Million","9798.6"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1996Q4","Euro Million","10413.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1997Q1","Euro Million","11119.1"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1997Q2","Euro Million","11492.4"
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1997Q3","Euro Million",""
"Exchequer Account (Historical Series)","Building Societies deposits and shares","1997Q4","Euro Million",""
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1975Q1","Euro Million","328.9"
