Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1996Q2,National,Euro,84702
New House Prices,1996Q2,Dublin,Euro,96254
New House Prices,1996Q2,Cork,Euro,83038
New House Prices,1996Q2,Galway,Euro,89045
New House Prices,1996Q2,Limerick,Euro,83018
New House Prices,1996Q2,Waterford,Euro,78587
New House Prices,1996Q2,Other areas,Euro,78771
New House Prices,1996Q3,National,Euro,90903
New House Prices,1996Q3,Dublin,Euro,99321
New House Prices,1996Q3,Cork,Euro,87051
New House Prices,1996Q3,Galway,Euro,96727
New House Prices,1996Q3,Limerick,Euro,80980
New House Prices,1996Q3,Waterford,Euro,85555
New House Prices,1996Q3,Other areas,Euro,87894
New House Prices,1996Q4,National,Euro,91947
New House Prices,1996Q4,Dublin,Euro,102115
New House Prices,1996Q4,Cork,Euro,89028
New House Prices,1996Q4,Galway,Euro,98288
New House Prices,1996Q4,Limerick,Euro,87889
New House Prices,1996Q4,Waterford,Euro,82329
New House Prices,1996Q4,Other areas,Euro,86437
New House Prices,1997Q1,National,Euro,93355
New House Prices,1997Q1,Dublin,Euro,106659
New House Prices,1997Q1,Cork,Euro,91965
New House Prices,1997Q1,Galway,Euro,100144
New House Prices,1997Q1,Limerick,Euro,83448
New House Prices,1997Q1,Waterford,Euro,87236
New House Prices,1997Q1,Other areas,Euro,86415
New House Prices,1997Q2,National,Euro,100598
New House Prices,1997Q2,Dublin,Euro,122635
New House Prices,1997Q2,Cork,Euro,96457
New House Prices,1997Q2,Galway,Euro,109220
New House Prices,1997Q2,Limerick,Euro,88385
New House Prices,1997Q2,Waterford,Euro,88272
New House Prices,1997Q2,Other areas,Euro,92010
New House Prices,1997Q3,National,Euro,104146
New House Prices,1997Q3,Dublin,Euro,123537
New House Prices,1997Q3,Cork,Euro,94739
New House Prices,1997Q3,Galway,Euro,112442
New House Prices,1997Q3,Limerick,Euro,93120
New House Prices,1997Q3,Waterford,Euro,94642
New House Prices,1997Q3,Other areas,Euro,96781
New House Prices,1997Q4,National,Euro,111981
New House Prices,1997Q4,Dublin,Euro,139361
New House Prices,1997Q4,Cork,Euro,98815
New House Prices,1997Q4,Galway,Euro,117410
New House Prices,1997Q4,Limerick,Euro,97761
New House Prices,1997Q4,Waterford,Euro,93572
New House Prices,1997Q4,Other areas,Euro,101434
New House Prices,1998Q1,National,Euro,117818
New House Prices,1998Q1,Dublin,Euro,146645
New House Prices,1998Q1,Cork,Euro,106705
New House Prices,1998Q1,Galway,Euro,118460
New House Prices,1998Q1,Limerick,Euro,99817
New House Prices,1998Q1,Waterford,Euro,92117
New House Prices,1998Q1,Other areas,Euro,109514
New House Prices,1998Q2,National,Euro,123278
New House Prices,1998Q2,Dublin,Euro,162259
New House Prices,1998Q2,Cork,Euro,107568
New House Prices,1998Q2,Galway,Euro,113616
New House Prices,1998Q2,Limerick,Euro,102397
New House Prices,1998Q2,Waterford,Euro,104666
New House Prices,1998Q2,Other areas,Euro,113954
New House Prices,1998Q3,National,Euro,124569
New House Prices,1998Q3,Dublin,Euro,164076
New House Prices,1998Q3,Cork,Euro,110708
New House Prices,1998Q3,Galway,Euro,115826
New House Prices,1998Q3,Limerick,Euro,100030
New House Prices,1998Q3,Waterford,Euro,120315
New House Prices,1998Q3,Other areas,Euro,115550
New House Prices,1998Q4,National,Euro,135828
New House Prices,1998Q4,Dublin,Euro,169662
New House Prices,1998Q4,Cork,Euro,122464
New House Prices,1998Q4,Galway,Euro,123631
New House Prices,1998Q4,Limerick,Euro,113800
New House Prices,1998Q4,Waterford,Euro,109686
New House Prices,1998Q4,Other areas,Euro,126150
New House Prices,1999Q1,National,Euro,142329
New House Prices,1999Q1,Dublin,Euro,182295
New House Prices,1999Q1,Cork,Euro,130002
New House Prices,1999Q1,Galway,Euro,132090
New House Prices,1999Q1,Limerick,Euro,112095
New House Prices,1999Q1,Waterford,Euro,122893
New House Prices,1999Q1,Other areas,Euro,131540
New House Prices,1999Q2,National,Euro,142837
New House Prices,1999Q2,Dublin,Euro,186987
New House Prices,1999Q2,Cork,Euro,134023
New House Prices,1999Q2,Galway,Euro,130411
New House Prices,1999Q2,Limerick,Euro,117918
New House Prices,1999Q2,Waterford,Euro,126631
New House Prices,1999Q2,Other areas,Euro,132662
New House Prices,1999Q3,National,Euro,151496
New House Prices,1999Q3,Dublin,Euro,200022
New House Prices,1999Q3,Cork,Euro,143538
New House Prices,1999Q3,Galway,Euro,142500
New House Prices,1999Q3,Limerick,Euro,127177
New House Prices,1999Q3,Waterford,Euro,133140
New House Prices,1999Q3,Other areas,Euro,139350
New House Prices,1999Q4,National,Euro,158140
New House Prices,1999Q4,Dublin,Euro,207979
New House Prices,1999Q4,Cork,Euro,157693
New House Prices,1999Q4,Galway,Euro,149776
New House Prices,1999Q4,Limerick,Euro,130365
New House Prices,1999Q4,Waterford,Euro,142759
New House Prices,1999Q4,Other areas,Euro,144786
New House Prices,2000Q1,National,Euro,160685
New House Prices,2000Q1,Dublin,Euro,205753
New House Prices,2000Q1,Cork,Euro,163160
New House Prices,2000Q1,Galway,Euro,153321
New House Prices,2000Q1,Limerick,Euro,142842
New House Prices,2000Q1,Waterford,Euro,144294
New House Prices,2000Q1,Other areas,Euro,147368
New House Prices,2000Q2,National,Euro,167378
New House Prices,2000Q2,Dublin,Euro,225753
New House Prices,2000Q2,Cork,Euro,162979
New House Prices,2000Q2,Galway,Euro,158120
New House Prices,2000Q2,Limerick,Euro,145122
New House Prices,2000Q2,Waterford,Euro,146217
New House Prices,2000Q2,Other areas,Euro,150324
New House Prices,2000Q3,National,Euro,169458
New House Prices,2000Q3,Dublin,Euro,220603
New House Prices,2000Q3,Cork,Euro,168090
New House Prices,2000Q3,Galway,Euro,164022
New House Prices,2000Q3,Limerick,Euro,147257
New House Prices,2000Q3,Waterford,Euro,146076
New House Prices,2000Q3,Other areas,Euro,155281
New House Prices,2000Q4,National,Euro,180013
New House Prices,2000Q4,Dublin,Euro,233902
New House Prices,2000Q4,Cork,Euro,172941
New House Prices,2000Q4,Galway,Euro,179921
New House Prices,2000Q4,Limerick,Euro,149420
New House Prices,2000Q4,Waterford,Euro,146670
New House Prices,2000Q4,Other areas,Euro,164032
New House Prices,2001Q1,National,Euro,182990
New House Prices,2001Q1,Dublin,Euro,248386
New House Prices,2001Q1,Cork,Euro,174509
New House Prices,2001Q1,Galway,Euro,170500
New House Prices,2001Q1,Limerick,Euro,150860
New House Prices,2001Q1,Waterford,Euro,154433
New House Prices,2001Q1,Other areas,Euro,165642
New House Prices,2001Q2,National,Euro,187784
New House Prices,2001Q2,Dublin,Euro,250268
New House Prices,2001Q2,Cork,Euro,183059
New House Prices,2001Q2,Galway,Euro,172758
New House Prices,2001Q2,Limerick,Euro,155007
New House Prices,2001Q2,Waterford,Euro,153741
New House Prices,2001Q2,Other areas,Euro,169196
New House Prices,2001Q3,National,Euro,178876
New House Prices,2001Q3,Dublin,Euro,235428
New House Prices,2001Q3,Cork,Euro,166543
New House Prices,2001Q3,Galway,Euro,170023
New House Prices,2001Q3,Limerick,Euro,150817
New House Prices,2001Q3,Waterford,Euro,157917
New House Prices,2001Q3,Other areas,Euro,165936
New House Prices,2001Q4,National,Euro,181171
New House Prices,2001Q4,Dublin,Euro,236041
New House Prices,2001Q4,Cork,Euro,172962
New House Prices,2001Q4,Galway,Euro,171354
New House Prices,2001Q4,Limerick,Euro,151586
New House Prices,2001Q4,Waterford,Euro,155593
New House Prices,2001Q4,Other areas,Euro,166301
New House Prices,2002Q1,National,Euro,189931
New House Prices,2002Q1,Dublin,Euro,240402
New House Prices,2002Q1,Cork,Euro,178922
New House Prices,2002Q1,Galway,Euro,180430
New House Prices,2002Q1,Limerick,Euro,159302
New House Prices,2002Q1,Waterford,Euro,158783
New House Prices,2002Q1,Other areas,Euro,171922
New House Prices,2002Q2,National,Euro,196905
New House Prices,2002Q2,Dublin,Euro,252657
New House Prices,2002Q2,Cork,Euro,185397
New House Prices,2002Q2,Galway,Euro,180300
New House Prices,2002Q2,Limerick,Euro,167858
New House Prices,2002Q2,Waterford,Euro,160384
New House Prices,2002Q2,Other areas,Euro,181316
New House Prices,2002Q3,National,Euro,199220
New House Prices,2002Q3,Dublin,Euro,266742
New House Prices,2002Q3,Cork,Euro,183365
New House Prices,2002Q3,Galway,Euro,195325
New House Prices,2002Q3,Limerick,Euro,170975
New House Prices,2002Q3,Waterford,Euro,174411
New House Prices,2002Q3,Other areas,Euro,179450
New House Prices,2002Q4,National,Euro,206879
New House Prices,2002Q4,Dublin,Euro,267240
New House Prices,2002Q4,Cork,Euro,190630
New House Prices,2002Q4,Galway,Euro,198349
New House Prices,2002Q4,Limerick,Euro,177206
New House Prices,2002Q4,Waterford,Euro,174467
New House Prices,2002Q4,Other areas,Euro,186575
New House Prices,2003Q1,National,Euro,213904
New House Prices,2003Q1,Dublin,Euro,278819
New House Prices,2003Q1,Cork,Euro,201094
New House Prices,2003Q1,Galway,Euro,215724
New House Prices,2003Q1,Limerick,Euro,185769
New House Prices,2003Q1,Waterford,Euro,186132
New House Prices,2003Q1,Other areas,Euro,192065
New House Prices,2003Q2,National,Euro,222532
New House Prices,2003Q2,Dublin,Euro,289345
New House Prices,2003Q2,Cork,Euro,202298
New House Prices,2003Q2,Galway,Euro,219970
New House Prices,2003Q2,Limerick,Euro,196580
New House Prices,2003Q2,Waterford,Euro,187848
New House Prices,2003Q2,Other areas,Euro,200300
New House Prices,2003Q3,National,Euro,225356
New House Prices,2003Q3,Dublin,Euro,295158
New House Prices,2003Q3,Cork,Euro,211549
New House Prices,2003Q3,Galway,Euro,226706
New House Prices,2003Q3,Limerick,Euro,203765
New House Prices,2003Q3,Waterford,Euro,204896
New House Prices,2003Q3,Other areas,Euro,205464
New House Prices,2003Q4,National,Euro,235688
New House Prices,2003Q4,Dublin,Euro,303193
New House Prices,2003Q4,Cork,Euro,233465
New House Prices,2003Q4,Galway,Euro,231657
New House Prices,2003Q4,Limerick,Euro,201615
New House Prices,2003Q4,Waterford,Euro,205703
New House Prices,2003Q4,Other areas,Euro,213494
New House Prices,2004Q1,National,Euro,238084
New House Prices,2004Q1,Dublin,Euro,311813
New House Prices,2004Q1,Cork,Euro,232783
New House Prices,2004Q1,Galway,Euro,230558
New House Prices,2004Q1,Limerick,Euro,203781
New House Prices,2004Q1,Waterford,Euro,210838
New House Prices,2004Q1,Other areas,Euro,216079
New House Prices,2004Q2,National,Euro,246299
New House Prices,2004Q2,Dublin,Euro,322899
New House Prices,2004Q2,Cork,Euro,229341
New House Prices,2004Q2,Galway,Euro,244074
New House Prices,2004Q2,Limerick,Euro,210095
New House Prices,2004Q2,Waterford,Euro,227363
New House Prices,2004Q2,Other areas,Euro,225083
New House Prices,2004Q3,National,Euro,249348
New House Prices,2004Q3,Dublin,Euro,324304
New House Prices,2004Q3,Cork,Euro,236719
New House Prices,2004Q3,Galway,Euro,233180
New House Prices,2004Q3,Limerick,Euro,207984
New House Prices,2004Q3,Waterford,Euro,217176
New House Prices,2004Q3,Other areas,Euro,231217
New House Prices,2004Q4,National,Euro,262277
New House Prices,2004Q4,Dublin,Euro,329447
New House Prices,2004Q4,Cork,Euro,252726
New House Prices,2004Q4,Galway,Euro,261304
New House Prices,2004Q4,Limerick,Euro,221725
New House Prices,2004Q4,Waterford,Euro,223067
New House Prices,2004Q4,Other areas,Euro,239209
New House Prices,2005Q1,National,Euro,264472
New House Prices,2005Q1,Dublin,Euro,342304
New House Prices,2005Q1,Cork,Euro,255027
New House Prices,2005Q1,Galway,Euro,265291
New House Prices,2005Q1,Limerick,Euro,213717
New House Prices,2005Q1,Waterford,Euro,238619
New House Prices,2005Q1,Other areas,Euro,242197
New House Prices,2005Q2,National,Euro,275394
New House Prices,2005Q2,Dublin,Euro,346683
New House Prices,2005Q2,Cork,Euro,268938
New House Prices,2005Q2,Galway,Euro,282475
New House Prices,2005Q2,Limerick,Euro,220321
New House Prices,2005Q2,Waterford,Euro,233445
New House Prices,2005Q2,Other areas,Euro,252075
New House Prices,2005Q3,National,Euro,275810
New House Prices,2005Q3,Dublin,Euro,351263
New House Prices,2005Q3,Cork,Euro,262000
New House Prices,2005Q3,Galway,Euro,277394
New House Prices,2005Q3,Limerick,Euro,226019
New House Prices,2005Q3,Waterford,Euro,243200
New House Prices,2005Q3,Other areas,Euro,256012
New House Prices,2005Q4,National,Euro,287134
New House Prices,2005Q4,Dublin,Euro,361242
New House Prices,2005Q4,Cork,Euro,275468
New House Prices,2005Q4,Galway,Euro,273334
New House Prices,2005Q4,Limerick,Euro,243861
New House Prices,2005Q4,Waterford,Euro,270968
New House Prices,2005Q4,Other areas,Euro,263524
New House Prices,2006Q1,National,Euro,294580
New House Prices,2006Q1,Dublin,Euro,390629
New House Prices,2006Q1,Cork,Euro,285610
New House Prices,2006Q1,Galway,Euro,284052
New House Prices,2006Q1,Limerick,Euro,250330
New House Prices,2006Q1,Waterford,Euro,250630
New House Prices,2006Q1,Other areas,Euro,269128
New House Prices,2006Q2,National,Euro,308302
New House Prices,2006Q2,Dublin,Euro,397337
New House Prices,2006Q2,Cork,Euro,314696
New House Prices,2006Q2,Galway,Euro,279059
New House Prices,2006Q2,Limerick,Euro,298878
New House Prices,2006Q2,Waterford,Euro,271284
New House Prices,2006Q2,Other areas,Euro,277465
New House Prices,2006Q3,National,Euro,309206
New House Prices,2006Q3,Dublin,Euro,425925
New House Prices,2006Q3,Cork,Euro,317283
New House Prices,2006Q3,Galway,Euro,289497
New House Prices,2006Q3,Limerick,Euro,267873
New House Prices,2006Q3,Waterford,Euro,281705
New House Prices,2006Q3,Other areas,Euro,280568
New House Prices,2006Q4,National,Euro,313087
New House Prices,2006Q4,Dublin,Euro,419330
New House Prices,2006Q4,Cork,Euro,303925
New House Prices,2006Q4,Galway,Euro,294602
New House Prices,2006Q4,Limerick,Euro,284078
New House Prices,2006Q4,Waterford,Euro,290626
New House Prices,2006Q4,Other areas,Euro,281086
New House Prices,2007Q1,National,Euro,320969
New House Prices,2007Q1,Dublin,Euro,417800
New House Prices,2007Q1,Cork,Euro,322364
New House Prices,2007Q1,Galway,Euro,304215
New House Prices,2007Q1,Limerick,Euro,276361
New House Prices,2007Q1,Waterford,Euro,285823
New House Prices,2007Q1,Other areas,Euro,293826
New House Prices,2007Q2,National,Euro,331947
New House Prices,2007Q2,Dublin,Euro,426900
New House Prices,2007Q2,Cork,Euro,334160
New House Prices,2007Q2,Galway,Euro,325147
New House Prices,2007Q2,Limerick,Euro,290135
New House Prices,2007Q2,Waterford,Euro,305560
New House Prices,2007Q2,Other areas,Euro,306712
New House Prices,2007Q3,National,Euro,319214
New House Prices,2007Q3,Dublin,Euro,412324
New House Prices,2007Q3,Cork,Euro,332265
New House Prices,2007Q3,Galway,Euro,281270
New House Prices,2007Q3,Limerick,Euro,285534
New House Prices,2007Q3,Waterford,Euro,293174
New House Prices,2007Q3,Other areas,Euro,293265
New House Prices,2007Q4,National,Euro,314333
New House Prices,2007Q4,Dublin,Euro,402346
New House Prices,2007Q4,Cork,Euro,310160
New House Prices,2007Q4,Galway,Euro,275796
New House Prices,2007Q4,Limerick,Euro,311956
New House Prices,2007Q4,Waterford,Euro,278517
New House Prices,2007Q4,Other areas,Euro,288500
New House Prices,2008Q1,National,Euro,311113
New House Prices,2008Q1,Dublin,Euro,397697
New House Prices,2008Q1,Cork,Euro,316232
New House Prices,2008Q1,Galway,Euro,296367
New House Prices,2008Q1,Limerick,Euro,280934
New House Prices,2008Q1,Waterford,Euro,302604
New House Prices,2008Q1,Other areas,Euro,285794
New House Prices,2008Q2,National,Euro,313678
New House Prices,2008Q2,Dublin,Euro,390544
New House Prices,2008Q2,Cork,Euro,316561
New House Prices,2008Q2,Galway,Euro,308225
New House Prices,2008Q2,Limerick,Euro,278881
New House Prices,2008Q2,Waterford,Euro,293175
New House Prices,2008Q2,Other areas,Euro,288087
New House Prices,2008Q3,National,Euro,301680
New House Prices,2008Q3,Dublin,Euro,347233
New House Prices,2008Q3,Cork,Euro,320302
New House Prices,2008Q3,Galway,Euro,281177
New House Prices,2008Q3,Limerick,Euro,271161
New House Prices,2008Q3,Waterford,Euro,290537
New House Prices,2008Q3,Other areas,Euro,285389
New House Prices,2008Q4,National,Euro,282023
New House Prices,2008Q4,Dublin,Euro,329625
New House Prices,2008Q4,Cork,Euro,299113
New House Prices,2008Q4,Galway,Euro,254120
New House Prices,2008Q4,Limerick,Euro,269879
New House Prices,2008Q4,Waterford,Euro,252322
New House Prices,2008Q4,Other areas,Euro,259944
New House Prices,2009Q1,National,Euro,255029
New House Prices,2009Q1,Dublin,Euro,290402
New House Prices,2009Q1,Cork,Euro,261031
New House Prices,2009Q1,Galway,Euro,236591
New House Prices,2009Q1,Limerick,Euro,306624
New House Prices,2009Q1,Waterford,Euro,232642
New House Prices,2009Q1,Other areas,Euro,242184
New House Prices,2009Q2,National,Euro,241288
New House Prices,2009Q2,Dublin,Euro,256749
New House Prices,2009Q2,Cork,Euro,255036
New House Prices,2009Q2,Galway,Euro,249394
New House Prices,2009Q2,Limerick,Euro,258521
New House Prices,2009Q2,Waterford,Euro,226513
New House Prices,2009Q2,Other areas,Euro,230020
New House Prices,2009Q3,National,Euro,233189
New House Prices,2009Q3,Dublin,Euro,250081
New House Prices,2009Q3,Cork,Euro,245127
New House Prices,2009Q3,Galway,Euro,216686
New House Prices,2009Q3,Limerick,Euro,220930
New House Prices,2009Q3,Waterford,Euro,208062
New House Prices,2009Q3,Other areas,Euro,224346
New House Prices,2009Q4,National,Euro,226505
New House Prices,2009Q4,Dublin,Euro,236532
New House Prices,2009Q4,Cork,Euro,234539
New House Prices,2009Q4,Galway,Euro,204963
New House Prices,2009Q4,Limerick,Euro,219859
New House Prices,2009Q4,Waterford,Euro,238813
New House Prices,2009Q4,Other areas,Euro,220205
New House Prices,2010Q1,National,Euro,226245
New House Prices,2010Q1,Dublin,Euro,247515
New House Prices,2010Q1,Cork,Euro,245946
New House Prices,2010Q1,Galway,Euro,194092
New House Prices,2010Q1,Limerick,Euro,204679
New House Prices,2010Q1,Waterford,Euro,218346
New House Prices,2010Q1,Other areas,Euro,216510
New House Prices,2010Q2,National,Euro,226833
New House Prices,2010Q2,Dublin,Euro,245389
New House Prices,2010Q2,Cork,Euro,242285
New House Prices,2010Q2,Galway,Euro,214366
New House Prices,2010Q2,Limerick,Euro,216625
New House Prices,2010Q2,Waterford,Euro,225310
New House Prices,2010Q2,Other areas,Euro,218219
New House Prices,2010Q3,National,Euro,230868
New House Prices,2010Q3,Dublin,Euro,276450
New House Prices,2010Q3,Cork,Euro,236887
New House Prices,2010Q3,Galway,Euro,231162
New House Prices,2010Q3,Limerick,Euro,243610
New House Prices,2010Q3,Waterford,Euro,243562
New House Prices,2010Q3,Other areas,Euro,215988
New House Prices,2010Q4,National,Euro,229531
New House Prices,2010Q4,Dublin,Euro,238551
New House Prices,2010Q4,Cork,Euro,260492
New House Prices,2010Q4,Galway,Euro,225925
New House Prices,2010Q4,Limerick,Euro,242094
New House Prices,2010Q4,Waterford,Euro,195934
New House Prices,2010Q4,Other areas,Euro,222118
New House Prices,2011Q1,National,Euro,241749
New House Prices,2011Q1,Dublin,Euro,302435
New House Prices,2011Q1,Cork,Euro,265854
New House Prices,2011Q1,Galway,Euro,224914
New House Prices,2011Q1,Limerick,Euro,221878
New House Prices,2011Q1,Waterford,Euro,214400
New House Prices,2011Q1,Other areas,Euro,223318
New House Prices,2011Q2,National,Euro,232174
New House Prices,2011Q2,Dublin,Euro,288328
New House Prices,2011Q2,Cork,Euro,241149
New House Prices,2011Q2,Galway,Euro,231785
New House Prices,2011Q2,Limerick,Euro,198974
New House Prices,2011Q2,Waterford,Euro,217833
New House Prices,2011Q2,Other areas,Euro,219919
New House Prices,2011Q3,National,Euro,226215
New House Prices,2011Q3,Dublin,Euro,286484
New House Prices,2011Q3,Cork,Euro,231805
New House Prices,2011Q3,Galway,Euro,229717
New House Prices,2011Q3,Limerick,Euro,209074
New House Prices,2011Q3,Waterford,Euro,202829
New House Prices,2011Q3,Other areas,Euro,215903
New House Prices,2011Q4,National,Euro,225067
New House Prices,2011Q4,Dublin,Euro,288906
New House Prices,2011Q4,Cork,Euro,233019
New House Prices,2011Q4,Galway,Euro,229335
New House Prices,2011Q4,Limerick,Euro,240144
New House Prices,2011Q4,Waterford,Euro,191593
New House Prices,2011Q4,Other areas,Euro,208275
New House Prices,2012Q1,National,Euro,215587
New House Prices,2012Q1,Dublin,Euro,278975
New House Prices,2012Q1,Cork,Euro,234522
New House Prices,2012Q1,Galway,Euro,220133
New House Prices,2012Q1,Limerick,Euro,202399
New House Prices,2012Q1,Waterford,Euro,180044
New House Prices,2012Q1,Other areas,Euro,200895
New House Prices,2012Q2,National,Euro,227376
New House Prices,2012Q2,Dublin,Euro,298881
New House Prices,2012Q2,Cork,Euro,234196
New House Prices,2012Q2,Galway,Euro,225831
New House Prices,2012Q2,Limerick,Euro,206552
New House Prices,2012Q2,Waterford,Euro,177583
New House Prices,2012Q2,Other areas,Euro,210580
New House Prices,2012Q3,National,Euro,221123
New House Prices,2012Q3,Dublin,Euro,258104
New House Prices,2012Q3,Cork,Euro,239559
New House Prices,2012Q3,Galway,Euro,207081
New House Prices,2012Q3,Limerick,Euro,211810
New House Prices,2012Q3,Waterford,Euro,183133
New House Prices,2012Q3,Other areas,Euro,210554
New House Prices,2012Q4,National,Euro,216810
New House Prices,2012Q4,Dublin,Euro,230267
New House Prices,2012Q4,Cork,Euro,233910
New House Prices,2012Q4,Galway,Euro,222485
New House Prices,2012Q4,Limerick,Euro,223458
New House Prices,2012Q4,Waterford,Euro,177750
New House Prices,2012Q4,Other areas,Euro,208407
New House Prices,2013Q1,National,Euro,225340
New House Prices,2013Q1,Dublin,Euro,265706
New House Prices,2013Q1,Cork,Euro,227291
New House Prices,2013Q1,Galway,Euro,251147
New House Prices,2013Q1,Limerick,Euro,236542
New House Prices,2013Q1,Waterford,Euro,155444
New House Prices,2013Q1,Other areas,Euro,213523
New House Prices,2013Q2,National,Euro,224432
New House Prices,2013Q2,Dublin,Euro,309433
New House Prices,2013Q2,Cork,Euro,250517
New House Prices,2013Q2,Galway,Euro,209800
New House Prices,2013Q2,Limerick,Euro,190216
New House Prices,2013Q2,Waterford,Euro,160333
New House Prices,2013Q2,Other areas,Euro,204389
New House Prices,2013Q3,National,Euro,232083
New House Prices,2013Q3,Dublin,Euro,311778
New House Prices,2013Q3,Cork,Euro,235495
New House Prices,2013Q3,Galway,Euro,215392
New House Prices,2013Q3,Limerick,Euro,212044
New House Prices,2013Q3,Waterford,Euro,153907
New House Prices,2013Q3,Other areas,Euro,209262
New House Prices,2013Q4,National,Euro,231011
New House Prices,2013Q4,Dublin,Euro,304275
New House Prices,2013Q4,Cork,Euro,245350
New House Prices,2013Q4,Galway,Euro,202259
New House Prices,2013Q4,Limerick,Euro,202748
New House Prices,2013Q4,Waterford,Euro,146222
New House Prices,2013Q4,Other areas,Euro,204567
New House Prices,2014Q1,National,Euro,234098
New House Prices,2014Q1,Dublin,Euro,308645
New House Prices,2014Q1,Cork,Euro,229375
New House Prices,2014Q1,Galway,Euro,223834
New House Prices,2014Q1,Limerick,Euro,215748
New House Prices,2014Q1,Waterford,Euro,176998
New House Prices,2014Q1,Other areas,Euro,207000
New House Prices,2014Q2,National,Euro,241912
New House Prices,2014Q2,Dublin,Euro,331441
New House Prices,2014Q2,Cork,Euro,248448
New House Prices,2014Q2,Galway,Euro,218710
New House Prices,2014Q2,Limerick,Euro,218452
New House Prices,2014Q2,Waterford,Euro,162939
New House Prices,2014Q2,Other areas,Euro,210451
New House Prices,2014Q3,National,Euro,247398
New House Prices,2014Q3,Dublin,Euro,345054
New House Prices,2014Q3,Cork,Euro,236137
New House Prices,2014Q3,Galway,Euro,236665
New House Prices,2014Q3,Limerick,Euro,183855
New House Prices,2014Q3,Waterford,Euro,229450
New House Prices,2014Q3,Other areas,Euro,210479
New House Prices,2014Q4,National,Euro,258989
New House Prices,2014Q4,Dublin,Euro,342329
New House Prices,2014Q4,Cork,Euro,255358
New House Prices,2014Q4,Galway,Euro,195564
New House Prices,2014Q4,Limerick,Euro,220940
New House Prices,2014Q4,Waterford,Euro,168386
New House Prices,2014Q4,Other areas,Euro,228024
New House Prices,2015Q1,National,Euro,267517
New House Prices,2015Q1,Dublin,Euro,360876
New House Prices,2015Q1,Cork,Euro,234073
New House Prices,2015Q1,Galway,Euro,253163
New House Prices,2015Q1,Limerick,Euro,235717
New House Prices,2015Q1,Waterford,Euro,242671
New House Prices,2015Q1,Other areas,Euro,234831
New House Prices,2015Q2,National,Euro,275235
New House Prices,2015Q2,Dublin,Euro,388609
New House Prices,2015Q2,Cork,Euro,257612
New House Prices,2015Q2,Galway,Euro,229154
New House Prices,2015Q2,Limerick,Euro,232603
New House Prices,2015Q2,Waterford,Euro,188120
New House Prices,2015Q2,Other areas,Euro,246937
New House Prices,2015Q3,National,Euro,285015
New House Prices,2015Q3,Dublin,Euro,373518
New House Prices,2015Q3,Cork,Euro,259694
New House Prices,2015Q3,Galway,Euro,242043
New House Prices,2015Q3,Limerick,Euro,233816
New House Prices,2015Q3,Waterford,Euro,225367
New House Prices,2015Q3,Other areas,Euro,256773
New House Prices,2015Q4,National,Euro,298551
New House Prices,2015Q4,Dublin,Euro,387963
New House Prices,2015Q4,Cork,Euro,266279
New House Prices,2015Q4,Galway,Euro,237350
New House Prices,2015Q4,Limerick,Euro,227033
New House Prices,2015Q4,Waterford,Euro,214044
New House Prices,2015Q4,Other areas,Euro,269337
New House Prices,2016Q1,National,Euro,309703
New House Prices,2016Q1,Dublin,Euro,403843
New House Prices,2016Q1,Cork,Euro,273731
New House Prices,2016Q1,Galway,Euro,269960
New House Prices,2016Q1,Limerick,Euro,228740
New House Prices,2016Q1,Waterford,Euro,211448
New House Prices,2016Q1,Other areas,Euro,267673
New House Prices,2016Q2,National,Euro,314950
New House Prices,2016Q2,Dublin,Euro,401346
New House Prices,2016Q2,Cork,Euro,289658
New House Prices,2016Q2,Galway,Euro,263167
New House Prices,2016Q2,Limerick,Euro,253608
New House Prices,2016Q2,Waterford,Euro,223652
New House Prices,2016Q2,Other areas,Euro,273769
New House Prices,2016Q3,National,Euro,304307
New House Prices,2016Q3,Dublin,Euro,397644
New House Prices,2016Q3,Cork,Euro,292511
New House Prices,2016Q3,Galway,Euro,263801
New House Prices,2016Q3,Limerick,Euro,236318
New House Prices,2016Q3,Waterford,Euro,229910
New House Prices,2016Q3,Other areas,Euro,268874
New House Prices,2016Q4,National,Euro,322680
New House Prices,2016Q4,Dublin,Euro,391369
New House Prices,2016Q4,Cork,Euro,311849
New House Prices,2016Q4,Galway,Euro,253270
New House Prices,2016Q4,Limerick,Euro,233655
New House Prices,2016Q4,Waterford,Euro,271158
New House Prices,2016Q4,Other areas,Euro,277837
Second Hand House Prices,1975Q1,National,Euro,
Second Hand House Prices,1975Q1,Dublin,Euro,
Second Hand House Prices,1975Q1,Cork,Euro,
Second Hand House Prices,1975Q1,Galway,Euro,
Second Hand House Prices,1975Q1,Limerick,Euro,
Second Hand House Prices,1975Q1,Waterford,Euro,
Second Hand House Prices,1975Q1,Other areas,Euro,
Second Hand House Prices,1975Q2,National,Euro,
Second Hand House Prices,1975Q2,Dublin,Euro,
Second Hand House Prices,1975Q2,Cork,Euro,
Second Hand House Prices,1975Q2,Galway,Euro,
Second Hand House Prices,1975Q2,Limerick,Euro,
Second Hand House Prices,1975Q2,Waterford,Euro,
Second Hand House Prices,1975Q2,Other areas,Euro,
Second Hand House Prices,1975Q3,National,Euro,
Second Hand House Prices,1975Q3,Dublin,Euro,
Second Hand House Prices,1975Q3,Cork,Euro,
