Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1979Q2,National,Euro,30314
New House Prices,1979Q2,Dublin,Euro,33717
New House Prices,1979Q2,Cork,Euro,30211
New House Prices,1979Q2,Galway,Euro,30078
New House Prices,1979Q2,Limerick,Euro,30290
New House Prices,1979Q2,Waterford,Euro,26705
New House Prices,1979Q2,Other areas,Euro,27764
New House Prices,1979Q3,National,Euro,30240
New House Prices,1979Q3,Dublin,Euro,32449
New House Prices,1979Q3,Cork,Euro,30571
New House Prices,1979Q3,Galway,Euro,33460
New House Prices,1979Q3,Limerick,Euro,34345
New House Prices,1979Q3,Waterford,Euro,33096
New House Prices,1979Q3,Other areas,Euro,27624
New House Prices,1979Q4,National,Euro,30078
New House Prices,1979Q4,Dublin,Euro,32312
New House Prices,1979Q4,Cork,Euro,30076
New House Prices,1979Q4,Galway,Euro,29299
New House Prices,1979Q4,Limerick,Euro,33651
New House Prices,1979Q4,Waterford,Euro,29252
New House Prices,1979Q4,Other areas,Euro,28150
New House Prices,1980Q1,National,Euro,32512
New House Prices,1980Q1,Dublin,Euro,34924
New House Prices,1980Q1,Cork,Euro,34590
New House Prices,1980Q1,Galway,Euro,33390
New House Prices,1980Q1,Limerick,Euro,32964
New House Prices,1980Q1,Waterford,Euro,29106
New House Prices,1980Q1,Other areas,Euro,29742
New House Prices,1980Q2,National,Euro,34119
New House Prices,1980Q2,Dublin,Euro,37098
New House Prices,1980Q2,Cork,Euro,33813
New House Prices,1980Q2,Galway,Euro,32094
New House Prices,1980Q2,Limerick,Euro,32488
New House Prices,1980Q2,Waterford,Euro,30264
New House Prices,1980Q2,Other areas,Euro,31721
New House Prices,1980Q3,National,Euro,35917
New House Prices,1980Q3,Dublin,Euro,38985
New House Prices,1980Q3,Cork,Euro,34682
New House Prices,1980Q3,Galway,Euro,33359
New House Prices,1980Q3,Limerick,Euro,33605
New House Prices,1980Q3,Waterford,Euro,36356
New House Prices,1980Q3,Other areas,Euro,34214
New House Prices,1980Q4,National,Euro,37643
New House Prices,1980Q4,Dublin,Euro,40280
New House Prices,1980Q4,Cork,Euro,35327
New House Prices,1980Q4,Galway,Euro,37441
New House Prices,1980Q4,Limerick,Euro,39203
New House Prices,1980Q4,Waterford,Euro,32862
New House Prices,1980Q4,Other areas,Euro,35643
New House Prices,1981Q1,National,Euro,38567
New House Prices,1981Q1,Dublin,Euro,40766
New House Prices,1981Q1,Cork,Euro,35849
New House Prices,1981Q1,Galway,Euro,38500
New House Prices,1981Q1,Limerick,Euro,40736
New House Prices,1981Q1,Waterford,Euro,34289
New House Prices,1981Q1,Other areas,Euro,36835
New House Prices,1981Q2,National,Euro,39778
New House Prices,1981Q2,Dublin,Euro,44208
New House Prices,1981Q2,Cork,Euro,37417
New House Prices,1981Q2,Galway,Euro,35367
New House Prices,1981Q2,Limerick,Euro,37796
New House Prices,1981Q2,Waterford,Euro,32787
New House Prices,1981Q2,Other areas,Euro,37583
New House Prices,1981Q3,National,Euro,41169
New House Prices,1981Q3,Dublin,Euro,46830
New House Prices,1981Q3,Cork,Euro,37290
New House Prices,1981Q3,Galway,Euro,40343
New House Prices,1981Q3,Limerick,Euro,42877
New House Prices,1981Q3,Waterford,Euro,37676
New House Prices,1981Q3,Other areas,Euro,37442
New House Prices,1981Q4,National,Euro,42282
New House Prices,1981Q4,Dublin,Euro,48414
New House Prices,1981Q4,Cork,Euro,35958
New House Prices,1981Q4,Galway,Euro,43263
New House Prices,1981Q4,Limerick,Euro,44451
New House Prices,1981Q4,Waterford,Euro,34305
New House Prices,1981Q4,Other areas,Euro,39905
New House Prices,1982Q1,National,Euro,43120
New House Prices,1982Q1,Dublin,Euro,49440
New House Prices,1982Q1,Cork,Euro,38798
New House Prices,1982Q1,Galway,Euro,45868
New House Prices,1982Q1,Limerick,Euro,35663
New House Prices,1982Q1,Waterford,Euro,39292
New House Prices,1982Q1,Other areas,Euro,41580
New House Prices,1982Q2,National,Euro,44239
New House Prices,1982Q2,Dublin,Euro,50174
New House Prices,1982Q2,Cork,Euro,37216
New House Prices,1982Q2,Galway,Euro,47025
New House Prices,1982Q2,Limerick,Euro,42126
New House Prices,1982Q2,Waterford,Euro,42861
New House Prices,1982Q2,Other areas,Euro,43099
New House Prices,1982Q3,National,Euro,44075
New House Prices,1982Q3,Dublin,Euro,48649
New House Prices,1982Q3,Cork,Euro,37987
New House Prices,1982Q3,Galway,Euro,44215
New House Prices,1982Q3,Limerick,Euro,41043
New House Prices,1982Q3,Waterford,Euro,40097
New House Prices,1982Q3,Other areas,Euro,43353
New House Prices,1982Q4,National,Euro,44695
New House Prices,1982Q4,Dublin,Euro,47731
New House Prices,1982Q4,Cork,Euro,38731
New House Prices,1982Q4,Galway,Euro,45528
New House Prices,1982Q4,Limerick,Euro,43207
New House Prices,1982Q4,Waterford,Euro,45361
New House Prices,1982Q4,Other areas,Euro,43388
New House Prices,1983Q1,National,Euro,44621
New House Prices,1983Q1,Dublin,Euro,48858
New House Prices,1983Q1,Cork,Euro,40078
New House Prices,1983Q1,Galway,Euro,43268
New House Prices,1983Q1,Limerick,Euro,41363
New House Prices,1983Q1,Waterford,Euro,45699
New House Prices,1983Q1,Other areas,Euro,43097
New House Prices,1983Q2,National,Euro,44341
New House Prices,1983Q2,Dublin,Euro,46830
New House Prices,1983Q2,Cork,Euro,39703
New House Prices,1983Q2,Galway,Euro,47688
New House Prices,1983Q2,Limerick,Euro,41301
New House Prices,1983Q2,Waterford,Euro,40304
New House Prices,1983Q2,Other areas,Euro,44159
New House Prices,1983Q3,National,Euro,45057
New House Prices,1983Q3,Dublin,Euro,49422
New House Prices,1983Q3,Cork,Euro,38703
New House Prices,1983Q3,Galway,Euro,46881
New House Prices,1983Q3,Limerick,Euro,41664
New House Prices,1983Q3,Waterford,Euro,43664
New House Prices,1983Q3,Other areas,Euro,44122
New House Prices,1983Q4,National,Euro,43774
New House Prices,1983Q4,Dublin,Euro,47623
New House Prices,1983Q4,Cork,Euro,38417
New House Prices,1983Q4,Galway,Euro,44707
New House Prices,1983Q4,Limerick,Euro,41400
New House Prices,1983Q4,Waterford,Euro,38773
New House Prices,1983Q4,Other areas,Euro,42494
New House Prices,1984Q1,National,Euro,45017
New House Prices,1984Q1,Dublin,Euro,49280
New House Prices,1984Q1,Cork,Euro,43030
New House Prices,1984Q1,Galway,Euro,45961
New House Prices,1984Q1,Limerick,Euro,42177
New House Prices,1984Q1,Waterford,Euro,41258
New House Prices,1984Q1,Other areas,Euro,41702
New House Prices,1984Q2,National,Euro,45492
New House Prices,1984Q2,Dublin,Euro,49464
New House Prices,1984Q2,Cork,Euro,39731
