2011,10480,6994,7154,,,,2021Q2,All house types,Number,4984,,,,Seasonally Adjusted New Dwelling Completions,2021Q2,All house types,Number,5110,
2012,8488,4911,4935,,,,2021Q3,All house types,Number,4646,,,,Seasonally Adjusted New Dwelling Completions,2021Q3,All house types,Number,4749,
2013,8301,4575,4540,,,,2021Q4,All house types,Number,6949,,,,Seasonally Adjusted New Dwelling Completions,2021Q4,All house types,Number,5705,
2014,11016,5518,5498,,,,2022Q1,All house types,Number,5625,29751,,,Seasonally Adjusted New Dwelling Completions,2022Q1,All house types,Number,6538,29732
2015,12666,7219,7163,,,,2022Q2,All house types,Number,7614,,,,Seasonally Adjusted New Dwelling Completions,2022Q2,All house types,Number,8134,
,,9791,9739,,,,2022Q3,All house types,Number,7388,,,,Seasonally Adjusted New Dwelling Completions,2022Q3,All house types,Number,7587,
,,14281,14163,,,,2022Q4,All house types,Number,9124,,,,Seasonally Adjusted New Dwelling Completions,2022Q4,All house types,Number,7473,
,,17869,17738,,,,2023Q1,All house types,Number,6652,22443,,,Seasonally Adjusted New Dwelling Completions,2023Q1,All house types,Number,7723,24174
,,21113,21009,,,,2023Q2,All house types,Number,7339,,,,Seasonally Adjusted New Dwelling Completions,2023Q2,All house types,Number,7749,
,,20550,20287,,,,2023Q3,All house types,Number,8452,,,,Seasonally Adjusted New Dwelling Completions,2023Q3,All house types,Number,8702,
,,20546,20390,,,,,,,,,,,,,,,,
,,29751,29732,,,,,,,,,,,,,,,,
,,22443,24174,,,,,,,,,,,,,,,,
