Year,Month,Day,Max (°F),Min (°F),Max (°C),Min (°C)
1831,1,1,NA,NA,NA,NA
1831,1,2,NA,NA,NA,NA
1831,1,3,NA,NA,NA,NA
1831,1,4,NA,NA,NA,NA
1831,1,5,NA,NA,NA,NA
1831,1,6,NA,NA,NA,NA
1831,1,7,NA,NA,NA,NA
1831,1,8,NA,NA,NA,NA
1831,1,9,NA,NA,NA,NA
1831,1,10,NA,NA,NA,NA
1831,1,11,NA,NA,NA,NA
1831,1,12,NA,NA,NA,NA
1831,1,13,NA,NA,NA,NA
1831,1,14,NA,NA,NA,NA
1831,1,15,NA,NA,NA,NA
1831,1,16,NA,NA,NA,NA
1831,1,17,NA,NA,NA,NA
1831,1,18,47.8,42.5,8.8,5.8
1831,1,19,48.5,42,9.2,5.6
1831,1,20,NA,44,NA,6.7
1831,1,21,50,45.5,10,7.5
1831,1,22,NA,42.5,NA,5.8
1831,1,23,46,NA,7.8,NA
1831,1,24,40,32,4.4,0
1831,1,25,37,28,2.8,-2.2
1831,1,26,40,28.5,4.4,-1.9
1831,1,27,42.5,30,5.8,-1.1
1831,1,28,38,33,3.3,0.6
1831,1,29,NA,31,NA,-0.6
1831,1,30,38.5,NA,3.6,NA
1831,1,31,37,28.5,2.8,-1.9
1831,2,1,31,29,-0.6,-1.7
1831,2,2,35,29,1.7,-1.7
1831,2,3,35,26.5,1.7,-3.1
1831,2,4,37,28.5,2.8,-1.9
1831,2,5,NA,19,NA,-7.2
1831,2,6,31,22,-0.6,-5.6
1831,2,7,50.5,31,10.3,-0.6
1831,2,8,53.5,46,11.9,7.8
1831,2,9,54.5,51,12.5,10.6
1831,2,10,58.5,NA,14.7,NA
1831,2,11,54,49.5,12.2,9.7
1831,2,12,NA,38,NA,3.3
1831,2,13,52.5,NA,11.4,NA
1831,2,14,55,45,12.8,7.2
1831,2,15,52.5,43.5,11.4,6.4
1831,2,16,49.5,41.5,9.7,5.3
1831,2,17,50,36.5,10,2.5
1831,2,18,50,39,10,3.9
1831,2,19,NA,41.5,NA,5.3
1831,2,20,50,NA,10,NA
1831,2,21,45,34.5,7.2,1.4
1831,2,22,49.5,41,9.7,5
1831,2,23,48,35,8.9,1.7
1831,2,24,49.8,NA,9.9,NA
1831,2,25,48.5,37.5,9.2,3.1
1831,2,26,NA,40.5,NA,4.7
1831,2,27,47.3,NA,8.5,NA
1831,2,28,44,34.5,6.7,1.4
1831,3,1,51,33.5,10.6,0.8
1831,3,2,53.5,43.5,11.9,6.4
1831,3,3,52.5,44,11.4,6.7
1831,3,4,53.3,47.5,11.8,8.6
1831,3,5,NA,50,NA,10
1831,3,6,55.3,NA,12.9,NA
1831,3,7,50.8,38,10.4,3.3
1831,3,8,50.5,49.5,10.3,9.7
1831,3,9,51,40,10.6,4.4
1831,3,10,53.5,42,11.9,5.6
1831,3,11,50.3,47.5,10.2,8.6
1831,3,12,NA,39.5,NA,4.2
1831,3,13,53.5,NA,11.9,NA
1831,3,14,47.5,36,8.6,2.2
1831,3,15,53,38,11.7,3.3
1831,3,16,55,45.5,12.8,7.5
1831,3,17,53,50,11.7,10
1831,3,18,52,40,11.1,4.4
1831,3,19,NA,41,NA,5
1831,3,20,54,NA,12.2,NA
1831,3,21,53,40,11.7,4.4
1831,3,22,51.5,43,10.8,6.1
1831,3,23,50.5,46,10.3,7.8
1831,3,24,47,42,8.3,5.6
1831,3,25,44,39,6.7,3.9
1831,3,26,NA,40,NA,4.4
1831,3,27,52.5,NA,11.4,NA
1831,3,28,57,38,13.9,3.3
1831,3,29,48.5,41,9.2,5
1831,3,30,48,42,8.9,5.6
1831,3,31,55.5,41,13.1,5
1831,4,1,56.5,39,13.6,3.9
1831,4,2,NA,39,NA,3.9
1831,4,3,54.5,NA,12.5,NA
1831,4,4,52,34,11.1,1.1
1831,4,5,52,39,11.1,3.9
1831,4,6,53.5,45.5,11.9,7.5
1831,4,7,51.5,46.5,10.8,8.1
1831,4,8,57,41,13.9,5
1831,4,9,NA,47,NA,8.3
1831,4,10,55,NA,12.8,NA
1831,4,11,60,42,15.6,5.6
1831,4,12,59,41,15,5
1831,4,13,52.5,46.5,11.4,8.1
1831,4,14,54.5,39,12.5,3.9
1831,4,15,58.5,49,14.7,9.4
1831,4,16,NA,49,NA,9.4
1831,4,17,55,NA,12.8,NA
1831,4,18,56.5,42,13.6,5.6
1831,4,19,60,44,15.6,6.7
1831,4,20,60,42,15.6,5.6
1831,4,21,53.5,48,11.9,8.9
1831,4,22,60,49.5,15.6,9.7
1831,4,23,NA,48,NA,8.9
1831,4,24,60.5,NA,15.8,NA
1831,4,25,55.5,44,13.1,6.7
1831,4,26,59,50,15,10
1831,4,27,59,45,15,7.2
1831,4,28,59,50,15,10
1831,4,29,57,47,13.9,8.3
1831,4,30,59,50,15,10
1831,5,1,NA,NA,NA,NA
1831,5,2,58,45,14.4,7.2
1831,5,3,54.5,46,12.5,7.8
1831,5,4,52,42,11.1,5.6
1831,5,5,50,40,10,4.4
1831,5,6,46,37,7.8,2.8
1831,5,7,NA,33,NA,0.6
1831,5,8,55,NA,12.8,NA
1831,5,9,58,38,14.4,3.3
1831,5,10,59.5,43,15.3,6.1
1831,5,11,59,47.5,15,8.6
1831,5,12,59,41,15,5
1831,5,13,56,48,13.3,8.9
1831,5,14,NA,46,NA,7.8
1831,5,15,58,NA,14.4,NA
1831,5,16,61,41,16.1,5
1831,5,17,60.5,49,15.8,9.4
1831,5,18,65,51,18.3,10.6
1831,5,19,63.5,54,17.5,12.2
1831,5,20,65,55,18.3,12.8
1831,5,21,NA,50,NA,10
1831,5,22,69,NA,20.6,NA
1831,5,23,67,55,19.4,12.8
1831,5,24,69.5,56,20.8,13.3
1831,5,25,70,60,21.1,15.6
1831,5,26,68,60,20,15.6
1831,5,27,63.5,56,17.5,13.3
1831,5,28,NA,50,NA,10
1831,5,29,68,NA,20,NA
1831,5,30,67,51,19.4,10.6
1831,5,31,68,53,20,11.7
1831,6,1,69,54,20.6,12.2
1831,6,2,70,51,21.1,10.6
1831,6,3,71.5,56,21.9,13.3
1831,6,4,NA,58,NA,14.4
1831,6,5,70.5,NA,21.4,NA
1831,6,6,67,54,19.4,12.2
1831,6,7,69,49,20.6,9.4
1831,6,8,67,55,19.4,12.8
1831,6,9,64,56,17.8,13.3
1831,6,10,63.5,56,17.5,13.3
1831,6,11,NA,53,NA,11.7
1831,6,12,66,NA,18.9,NA
1831,6,13,68,56,20,13.3
1831,6,14,66,60,18.9,15.6
1831,6,15,68,61,20,16.1
1831,6,16,65.5,59,18.6,15
1831,6,17,65,56,18.3,13.3
1831,6,18,NA,57,NA,13.9
1831,6,19,67,NA,19.4,NA
1831,6,20,65,57,18.3,13.9
1831,6,21,66,60,18.9,15.6
1831,6,22,66.5,55,19.2,12.8
1831,6,23,64,55,17.8,12.8
1831,6,24,61,53,16.1,11.7
1831,6,25,NA,54,NA,12.2
1831,6,26,64,NA,17.8,NA
1831,6,27,63,52,17.2,11.1
1831,6,28,61,54,16.1,12.2
1831,6,29,61,54,16.1,12.2
1831,6,30,66,52,18.9,11.1
1831,7,1,66,48.5,18.9,9.2
1831,7,2,NA,56,NA,13.3
1831,7,3,66.5,NA,19.2,NA
1831,7,4,69,54,20.6,12.2
1831,7,5,68,59,20,15
1831,7,6,71,55,21.7,12.8
1831,7,7,74,54,23.3,12.2
1831,7,8,73,59,22.8,15
1831,7,9,NA,NA,NA,NA
1831,7,10,71,NA,21.7,NA
1831,7,11,63,59,17.2,15
1831,7,12,67,55,19.4,12.8
1831,7,13,66,59,18.9,15
1831,7,14,70,59,21.1,15
1831,7,15,70,58,21.1,14.4
1831,7,16,NA,59,NA,15
1831,7,17,66,NA,18.9,NA
1831,7,18,63,56,17.2,13.3
1831,7,19,61,54,16.1,12.2
1831,7,20,64,54,17.8,12.2
1831,7,21,60,53.5,15.6,11.9
1831,7,22,62,53,16.7,11.7
1831,7,23,NA,52,NA,11.1
1831,7,24,64,NA,17.8,NA
1831,7,25,65,49,18.3,9.4
1831,7,26,67.5,57,19.7,13.9
1831,7,27,70.5,62,21.4,16.7
1831,7,28,73.5,65,23.1,18.3
1831,7,29,73,65,22.8,18.3
1831,7,30,77,NA,25,NA
1831,7,31,NA,NA,NA,NA
1831,8,1,76,63,24.4,17.2
1831,8,2,75.5,NA,24.2,NA
1831,8,3,74,66,23.3,18.9
1831,8,4,70,65,21.1,18.3
1831,8,5,71.5,64,21.9,17.8
1831,8,6,NA,63,NA,17.2
1831,8,7,69.5,NA,20.8,NA
1831,8,8,67.5,57,19.7,13.9
1831,8,9,66,NA,18.9,NA
1831,8,10,68.2,55,20.1,12.8
1831,8,11,69,62,20.6,16.7
1831,8,12,70,59,21.1,15
1831,8,13,NA,58,NA,14.4
1831,8,14,72,NA,22.2,NA
1831,8,15,71.5,59,21.9,15
1831,8,16,74,66,23.3,18.9
1831,8,17,65,NA,18.3,NA
1831,8,18,63,52,17.2,11.1
1831,8,19,62,55,16.7,12.8
1831,8,20,NA,57,NA,13.9
1831,8,21,70,NA,21.1,NA
1831,8,22,70.5,64.5,21.4,18.1
1831,8,23,67,55,19.4,12.8
1831,8,24,65,58.5,18.3,14.7
1831,8,25,64,52,17.8,11.1
1831,8,26,NA,57,NA,13.9
1831,8,27,NA,NA,NA,NA
1831,8,28,67,NA,19.4,NA
1831,8,29,65,52,18.3,11.1
1831,8,30,71,60,21.7,15.6
1831,8,31,64,NA,17.8,NA
1831,9,1,63.5,49,17.5,9.4
1831,9,2,62,47,16.7,8.3
1831,9,3,NA,47.5,NA,8.6
1831,9,4,64,NA,17.8,NA
1831,9,5,64,51.5,17.8,10.8
1831,9,6,61,54,16.1,12.2
1831,9,7,57.5,50,14.2,10
1831,9,8,57,48,13.9,8.9
1831,9,9,62,46,16.7,7.8
1831,9,10,NA,47,NA,8.3
1831,9,11,64,NA,17.8,NA
1831,9,12,63.5,49.5,17.5,9.7
1831,9,13,61.5,56,16.4,13.3
1831,9,14,65.5,54,18.6,12.2
1831,9,15,60,NA,15.6,NA
1831,9,16,60.5,51,15.8,10.6
1831,9,17,NA,54,NA,12.2
1831,9,18,65,NA,18.3,NA
1831,9,19,62,57,16.7,13.9
1831,9,20,59.5,50,15.3,10
1831,9,21,59.5,47,15.3,8.3
1831,9,22,59,46,15,7.8
1831,9,23,64,50,17.8,10
1831,9,24,NA,55,NA,12.8
1831,9,25,64.5,NA,18.1,NA
1831,9,26,57,49,13.9,9.4
1831,9,27,57.5,45,14.2,7.2
1831,9,28,58,46,14.4,7.8
1831,9,29,61,53,16.1,11.7
1831,9,30,64,56,17.8,13.3
1831,10,1,NA,57,NA,13.9
1831,10,2,64,NA,17.8,NA
1831,10,3,63,55,17.2,12.8
1831,10,4,58,54,14.4,12.2
1831,10,5,59,47,15,8.3
1831,10,6,62,51,16.7,10.6
1831,10,7,62,58,16.7,14.4
1831,10,8,NA,54,NA,12.2
1831,10,9,61,NA,16.1,NA
1831,10,10,58,49,14.4,9.4
1831,10,11,60,50,15.6,10
1831,10,12,58.5,48,14.7,8.9
1831,10,13,58.5,51,14.7,10.6
1831,10,14,59.5,51,15.3,10.6
1831,10,15,NA,49,NA,9.4
1831,10,16,59.5,NA,15.3,NA
1831,10,17,65,48.5,18.3,9.2
1831,10,18,63.5,58,17.5,14.4
1831,10,19,61,54,16.1,12.2
1831,10,20,59.5,48,15.3,8.9
1831,10,21,56.5,47,13.6,8.3
1831,10,22,NA,47,NA,8.3
1831,10,23,61,NA,16.1,NA
1831,10,24,56.5,44,13.6,6.7
1831,10,25,57,49,13.9,9.4
1831,10,26,53.5,45,11.9,7.2
1831,10,27,55,44,12.8,6.7
1831,10,28,54.5,42,12.5,5.6
1831,10,29,NA,42,NA,5.6
1831,10,30,52.5,NA,11.4,NA
1831,10,31,57,43,13.9,6.1
1831,11,1,56,52,13.3,11.1
1831,11,2,46.5,39,8.1,3.9
1831,11,3,45,34,7.2,1.1
1831,11,4,46,32,7.8,0
1831,11,5,NA,41,NA,5
1831,11,6,49,NA,9.4,NA
1831,11,7,46.5,33,8.1,0.6
1831,11,8,49,39,9.4,3.9
1831,11,9,45,32,7.2,0
1831,11,10,51,34,10.6,1.1
1831,11,11,53,46,11.7,7.8
1831,11,12,NA,46,NA,7.8
1831,11,13,53,NA,11.7,NA
1831,11,14,46.5,34,8.1,1.1
1831,11,15,39.5,33,4.2,0.6
1831,11,16,41,31,5,-0.6
1831,11,17,39.5,31,4.2,-0.6
1831,11,18,42,28.5,5.6,-1.9
1831,11,19,NA,34,NA,1.1
1831,11,20,54.5,NA,12.5,NA
1831,11,21,57,32,13.9,0
1831,11,22,59,52,15,11.1
1831,11,23,58.5,53,14.7,11.7
1831,11,24,56.5,52,13.6,11.1
1831,11,25,56,51,13.3,10.6
1831,11,26,NA,46,NA,7.8
1831,11,27,51.5,NA,10.8,NA
1831,11,28,51,45,10.6,7.2
1831,11,29,49.5,44,9.7,6.7
1831,11,30,44,34,6.7,1.1
1831,12,1,42,32,5.6,0
1831,12,2,42,34,5.6,1.1
1831,12,3,NA,31,NA,-0.6
1831,12,4,49.5,NA,9.7,NA
1831,12,5,51.5,40,10.8,4.4
1831,12,6,49,41,9.4,5
1831,12,7,50,44,10,6.7
1831,12,8,51,39,10.6,3.9
1831,12,9,51.5,45,10.8,7.2
1831,12,10,NA,45,NA,7.2
1831,12,11,50,NA,10,NA
1831,12,12,52,43,11.1,6.1
1831,12,13,49.5,42,9.7,5.6
1831,12,14,46.5,36,8.1,2.2
1831,12,15,48,44,8.9,6.7
1831,12,16,49,35,9.4,1.7
1831,12,17,NA,36,NA,2.2
1831,12,18,49.5,NA,9.7,NA
1831,12,19,43,36.5,6.1,2.5
1831,12,20,49.5,36,9.7,2.2
1831,12,21,47,37,8.3,2.8
1831,12,22,47,38,8.3,3.3
1831,12,23,46,33,7.8,0.6
1831,12,24,NA,38,NA,3.3
1831,12,25,50,NA,10,NA
1831,12,26,47,41,8.3,5
1831,12,27,46,38,7.8,3.3
1831,12,28,44,33,6.7,0.6
1831,12,29,40.5,33,4.7,0.6
1831,12,30,44,35,6.7,1.7
1831,12,31,42,36,5.6,2.2
1832,1,1,NA,NA,NA,NA
1832,1,2,41,36,5,2.2
1832,1,3,42,35,5.6,1.7
1832,1,4,44.5,36,6.9,2.2
1832,1,5,42,37,5.6,2.8
1832,1,6,44,36,6.7,2.2
1832,1,7,NA,38,NA,3.3
1832,1,8,45.5,NA,7.5,NA
1832,1,9,45.5,38,7.5,3.3
1832,1,10,45.5,37,7.5,2.8
1832,1,11,46.5,38,8.1,3.3
1832,1,12,45.5,37,7.5,2.8
1832,1,13,40.5,33,4.7,0.6
1832,1,14,NA,32,NA,0
1832,1,15,46,NA,7.8,NA
1832,1,16,48,36,8.9,2.2
1832,1,17,46,38,7.8,3.3
1832,1,18,47.5,38,8.6,3.3
1832,1,19,50,NA,10,NA
1832,1,20,57,NA,13.9,NA
1832,1,21,NA,46,NA,7.8
1832,1,22,50,NA,10,NA
1832,1,23,52,45,11.1,7.2
1832,1,24,52,49,11.1,9.4
1832,1,25,44.5,40,6.9,4.4
1832,1,26,40,34,4.4,1.1
1832,1,27,37.5,30,3.1,-1.1
1832,1,28,NA,31,NA,-0.6
1832,1,29,43,NA,6.1,NA
1832,1,30,45,41,7.2,5
1832,1,31,44.5,43,6.9,6.1
1832,2,1,44,41,6.7,5
1832,2,2,40.5,35,4.7,1.7
1832,2,3,44,34,6.7,1.1
1832,2,4,NA,42,NA,5.6
1832,2,5,50,NA,10,NA
1832,2,6,47.5,46.5,8.6,8.1
1832,2,7,49.5,36,9.7,2.2
1832,2,8,54,44,12.2,6.7
1832,2,9,49,43,9.4,6.1
1832,2,10,47.5,35,8.6,1.7
1832,2,11,NA,32,NA,0
1832,2,12,45,NA,7.2,NA
1832,2,13,42,34,5.6,1.1
1832,2,14,41,39,5,3.9
1832,2,15,48,37,8.9,2.8
1832,2,16,47,42,8.3,5.6
1832,2,17,44,33.5,6.7,0.8
1832,2,18,NA,36,NA,2.2
1832,2,19,50.5,NA,10.3,NA
1832,2,20,46,39.5,7.8,4.2
1832,2,21,49,43,9.4,6.1
1832,2,22,50,36,10,2.2
1832,2,23,53.5,46,11.9,7.8
1832,2,24,51.5,47,10.8,8.3
1832,2,25,NA,34.5,NA,1.4
1832,2,26,46,NA,7.8,NA
1832,2,27,44,33,6.7,0.6
1832,2,28,45,33.5,7.2,0.8
1832,2,29,46,34,7.8,1.1
1832,3,1,48,38,8.9,3.3
1832,3,2,50,33,10,0.6
1832,3,3,NA,47,NA,8.3
1832,3,4,52,NA,11.1,NA
1832,3,5,50,37,10,2.8
1832,3,6,48,42,8.9,5.6
1832,3,7,41,34,5,1.1
1832,3,8,44,33.5,6.7,0.8
1832,3,9,49,37,9.4,2.8
1832,3,10,NA,45,NA,7.2
1832,3,11,52,NA,11.1,NA
1832,3,12,48,33.5,8.9,0.8
1832,3,13,48,43,8.9,6.1
1832,3,14,41,38,5,3.3
1832,3,15,48,34,8.9,1.1
1832,3,16,53,40,11.7,4.4
1832,3,17,NA,41.5,NA,5.3
1832,3,18,46.5,NA,8.1,NA
1832,3,19,49.5,37,9.7,2.8
1832,3,20,NA,44,NA,6.7
1832,3,21,55,NA,12.8,NA
1832,3,22,55,45,12.8,7.2
1832,3,23,46.5,45,8.1,7.2
1832,3,24,NA,34,NA,1.1
1832,3,25,49.5,NA,9.7,NA
1832,3,26,49,33,9.4,0.6
1832,3,27,50,43,10,6.1
1832,3,28,51.3,45,10.7,7.2
1832,3,29,56,46,13.3,7.8
1832,3,30,57,42,13.9,5.6
1832,3,31,NA,37,NA,2.8
1832,4,1,55.5,NA,13.1,NA
1832,4,2,57,42,13.9,5.6
1832,4,3,60,53,15.6,11.7
1832,4,4,63,44,17.2,6.7
1832,4,5,NA,50,NA,10
1832,4,6,NA,50,NA,10
1832,4,7,NA,43,NA,6.1
1832,4,8,NA,NA,NA,NA
1832,4,9,NA,43.5,NA,6.4
1832,4,10,NA,42,NA,5.6
1832,4,11,NA,41,NA,5
1832,4,12,NA,45,NA,7.2
1832,4,13,NA,45,NA,7.2
1832,4,14,NA,47,NA,8.3
1832,4,15,NA,NA,NA,NA
1832,4,16,NA,46,NA,7.8
1832,4,17,NA,45,NA,7.2
1832,4,18,NA,50,NA,10
1832,4,19,NA,41,NA,5
1832,4,20,NA,NA,NA,NA
1832,4,21,NA,41,NA,5
1832,4,22,NA,NA,NA,NA
1832,4,23,NA,44,NA,6.7
1832,4,24,NA,38,NA,3.3
1832,4,25,NA,38,NA,3.3
1832,4,26,NA,38,NA,3.3
1832,4,27,NA,41,NA,5
1832,4,28,NA,42,NA,5.6
1832,4,29,NA,NA,NA,NA
1832,4,30,NA,38,NA,3.3
1832,5,1,NA,46,NA,7.8
1832,5,2,NA,46,NA,7.8
1832,5,3,NA,46,NA,7.8
1832,5,4,NA,35,NA,1.7
1832,5,5,NA,43,NA,6.1
1832,5,6,NA,NA,NA,NA
1832,5,7,NA,53,NA,11.7
1832,5,8,NA,47,NA,8.3
1832,5,9,NA,44,NA,6.7
1832,5,10,NA,38,NA,3.3
1832,5,11,NA,39,NA,3.9
1832,5,12,NA,39.5,NA,4.2
1832,5,13,NA,NA,NA,NA
1832,5,14,NA,36,NA,2.2
1832,5,15,NA,45,NA,7.2
1832,5,16,NA,41,NA,5
1832,5,17,NA,45,NA,7.2
1832,5,18,NA,44,NA,6.7
1832,5,19,NA,46,NA,7.8
1832,5,20,NA,NA,NA,NA
1832,5,21,NA,50,NA,10
1832,5,22,NA,54,NA,12.2
1832,5,23,NA,52,NA,11.1
1832,5,24,NA,53,NA,11.7
1832,5,25,NA,52,NA,11.1
1832,5,26,NA,57,NA,13.9
1832,5,27,NA,NA,NA,NA
1832,5,28,NA,NA,NA,NA
1832,5,29,NA,47,NA,8.3
1832,5,30,NA,54,NA,12.2
1832,5,31,NA,54.5,NA,12.5
1832,6,1,NA,49.5,NA,9.7
1832,6,2,NA,50,NA,10
1832,6,3,NA,NA,NA,NA
1832,6,4,NA,48,NA,8.9
1832,6,5,NA,58,NA,14.4
1832,6,6,NA,55,NA,12.8
1832,6,7,NA,54,NA,12.2
1832,6,8,NA,51,NA,10.6
1832,6,9,NA,52,NA,11.1
1832,6,10,NA,NA,NA,NA
1832,6,11,NA,53,NA,11.7
1832,6,12,NA,55,NA,12.8
1832,6,13,NA,60,NA,15.6
1832,6,14,NA,58,NA,14.4
1832,6,15,NA,54,NA,12.2
1832,6,16,NA,50,NA,10
1832,6,17,NA,NA,NA,NA
1832,6,18,NA,58,NA,14.4
1832,6,19,NA,58,NA,14.4
1832,6,20,NA,57,NA,13.9
1832,6,21,68,56.5,20,13.6
1832,6,22,66,58,18.9,14.4
1832,6,23,NA,59,NA,15
1832,6,24,62,NA,16.7,NA
1832,6,25,63,52,17.2,11.1
1832,6,26,64,50,17.8,10
1832,6,27,71.5,54,21.9,12.2
1832,6,28,72,62,22.2,16.7
1832,6,29,70,60,21.1,15.6
1832,6,30,NA,56,NA,13.3
1832,7,1,73,NA,22.8,NA
1832,7,2,72,61,22.2,16.1
1832,7,3,72,NA,22.2,NA
1832,7,4,71.5,NA,21.9,NA
1832,7,5,71.5,59,21.9,15
1832,7,6,68,57,20,13.9
1832,7,7,NA,56,NA,13.3
1832,7,8,69,NA,20.6,NA
1832,7,9,66,58,18.9,14.4
1832,7,10,68,59,20,15
1832,7,11,67,57,19.4,13.9
1832,7,12,67,59,19.4,15
1832,7,13,67,61,19.4,16.1
1832,7,14,NA,54,NA,12.2
1832,7,15,67,NA,19.4,NA
1832,7,16,72,52,22.2,11.1
1832,7,17,65,58,18.3,14.4
1832,7,18,63,52,17.2,11.1
1832,7,19,63,47,17.2,8.3
1832,7,20,63.5,47,17.5,8.3
1832,7,21,NA,50,NA,10
1832,7,22,66,NA,18.9,NA
1832,7,23,62,52,16.7,11.1
1832,7,24,64,55,17.8,12.8
1832,7,25,65,56.5,18.3,13.6
1832,7,26,68,56,20,13.3
1832,7,27,67,52,19.4,11.1
1832,7,28,NA,57,NA,13.9
1832,7,29,69,NA,20.6,NA
1832,7,30,70,53,21.1,11.7
1832,7,31,69,56,20.6,13.3
1832,8,1,69,58,20.6,14.4
1832,8,2,63.5,61,17.5,16.1
1832,8,3,66,58,18.9,14.4
1832,8,4,NA,55,NA,12.8
1832,8,5,70,NA,21.1,NA
1832,8,6,64.5,57,18.1,13.9
1832,8,7,65,58,18.3,14.4
1832,8,8,66.5,59,19.2,15
1832,8,9,72,61,22.2,16.1
1832,8,10,72,66.5,22.2,19.2
1832,8,11,NA,63,NA,17.2
1832,8,12,68,NA,20,NA
1832,8,13,66,56,18.9,13.3
1832,8,14,67,55,19.4,12.8
1832,8,15,66,58,18.9,14.4
1832,8,16,68,61,20,16.1
1832,8,17,66,56,18.9,13.3
1832,8,18,NA,59.5,NA,15.3
1832,8,19,67,NA,19.4,NA
1832,8,20,65,55,18.3,12.8
1832,8,21,66,56,18.9,13.3
1832,8,22,63,56,17.2,13.3
1832,8,23,61,55,16.1,12.8
1832,8,24,62.5,50,16.9,10
1832,8,25,NA,55,NA,12.8
1832,8,26,61.5,NA,16.4,NA
1832,8,27,59,50,15,10
1832,8,28,58,46,14.4,7.8
1832,8,29,58,50,14.4,10
1832,8,30,63,55,17.2,12.8
1832,8,31,65,55,18.3,12.8
1832,9,1,NA,52,NA,11.1
1832,9,2,62,NA,16.7,NA
1832,9,3,63,52,17.2,11.1
1832,9,4,64,47,17.8,8.3
1832,9,5,61,54,16.1,12.2
1832,9,6,64,52,17.8,11.1
1832,9,7,64,52,17.8,11.1
1832,9,8,NA,55,NA,12.8
1832,9,9,65,NA,18.3,NA
1832,9,10,59,51,15,10.6
1832,9,11,60,50,15.6,10
1832,9,12,65,56,18.3,13.3
1832,9,13,59,54.5,15,12.5
1832,9,14,58,47,14.4,8.3
1832,9,15,NA,53,NA,11.7
1832,9,16,62,NA,16.7,NA
1832,9,17,63,53.5,17.2,11.9
1832,9,18,59,51,15,10.6
1832,9,19,60,47,15.6,8.3
1832,9,20,61.5,45,16.4,7.2
1832,9,21,62,46,16.7,7.8
1832,9,22,NA,52,NA,11.1
1832,9,23,68,NA,20,NA
1832,9,24,65,50,18.3,10
1832,9,25,70,53,21.1,11.7
1832,9,26,69,59,20.6,15
1832,9,27,71,56,21.7,13.3
1832,9,28,66,54,18.9,12.2
1832,9,29,NA,60,NA,15.6
1832,9,30,64,NA,17.8,NA
1832,10,1,64,55,17.8,12.8
1832,10,2,62,49,16.7,9.4
1832,10,3,63,58.5,17.2,14.7
1832,10,4,59,48,15,8.9
1832,10,5,53,49,11.7,9.4
1832,10,6,NA,43.5,NA,6.4
1832,10,7,57,NA,13.9,NA
1832,10,8,53,46,11.7,7.8
1832,10,9,55,46,12.8,7.8
1832,10,10,63,52,17.2,11.1
1832,10,11,63,57,17.2,13.9
1832,10,12,57.5,56,14.2,13.3
1832,10,13,NA,49,NA,9.4
1832,10,14,57,NA,13.9,NA
1832,10,15,58.5,46.5,14.7,8.1
1832,10,16,58,51,14.4,10.6
1832,10,17,61,52,16.1,11.1
1832,10,18,57,53.5,13.9,11.9
1832,10,19,55,45,12.8,7.2
1832,10,20,NA,47,NA,8.3
1832,10,21,57,NA,13.9,NA
1832,10,22,56,43.5,13.3,6.4
1832,10,23,55,45,12.8,7.2
1832,10,24,55.5,47,13.1,8.3
1832,10,25,56,49,13.3,9.4
1832,10,26,59.5,52,15.3,11.1
1832,10,27,NA,50,NA,10
1832,10,28,60,NA,15.6,NA
1832,10,29,52,51,11.1,10.6
1832,10,30,54.5,48,12.5,8.9
1832,10,31,51,44,10.6,6.7
1832,11,1,57,49,13.9,9.4
1832,11,2,58,50,14.4,10
1832,11,3,NA,46,NA,7.8
1832,11,4,52.5,NA,11.4,NA
1832,11,5,47,37,8.3,2.8
1832,11,6,46.5,35,8.1,1.7
1832,11,7,46,32,7.8,0
1832,11,8,44,32,6.7,0
1832,11,9,48,35,8.9,1.7
1832,11,10,NA,43,NA,6.1
1832,11,11,55,NA,12.8,NA
1832,11,12,47,39,8.3,3.9
1832,11,13,50,38,10,3.3
1832,11,14,47.5,42,8.6,5.6
1832,11,15,44,33,6.7,0.6
1832,11,16,42,30,5.6,-1.1
1832,11,17,NA,32,NA,0
1832,11,18,48,NA,8.9,NA
1832,11,19,52,38,11.1,3.3
1832,11,20,52.5,49,11.4,9.4
1832,11,21,53,43.5,11.7,6.4
1832,11,22,54,49,12.2,9.4
1832,11,23,55,51,12.8,10.6
1832,11,24,NA,52,NA,11.1
1832,11,25,53,NA,11.7,NA
1832,11,26,47,41,8.3,5
1832,11,27,51,NA,10.6,NA
1832,11,28,44,36,6.7,2.2
1832,11,29,41.5,36,5.3,2.2
1832,11,30,52,37,11.1,2.8
1832,12,1,NA,40,NA,4.4
1832,12,2,53,NA,11.7,NA
1832,12,3,45,39,7.2,3.9
1832,12,4,43,36,6.1,2.2
1832,12,5,48,33,8.9,0.6
1832,12,6,45,33,7.2,0.6
1832,12,7,51,38,10.6,3.3
1832,12,8,NA,42,NA,5.6
1832,12,9,53,NA,11.7,NA
1832,12,10,49,47,9.4,8.3
1832,12,11,51,43,10.6,6.1
1832,12,12,49,46,9.4,7.8
1832,12,13,52,46,11.1,7.8
1832,12,14,44.5,38,6.9,3.3
1832,12,15,NA,39,NA,3.9
1832,12,16,52,NA,11.1,NA
1832,12,17,48.5,37,9.2,2.8
1832,12,18,42,36,5.6,2.2
1832,12,19,39,34,3.9,1.1
1832,12,20,48,32,8.9,0
1832,12,21,50,39,10,3.9
1832,12,22,NA,46,NA,7.8
1832,12,23,54,NA,12.2,NA
1832,12,24,NA,40,NA,4.4
