,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
2006M06,19.3,10.4,14.9,23.9,6.4
2006M07,22.1,12.1,17.1,26.5,5.4
2006M08,19.4,11.1,15.3,25.3,5.6
2006M09,18.7,11.5,15.1,22.6,3.5
2006M10,15.3,8.7,12,17.4,2.8
2006M11,10.9,4.3,7.6,14.3,-2.1
2006M12,9.3,3.9,6.6,13.5,-2.7
2007M01,9.5,3.7,6.6,13.7,-1
2007M02,9.3,2.2,5.8,14.3,-4.8
2007M03,10.3,2.8,6.6,14,-2.5
2007M04,15.2,6.4,10.8,19.7,0.4
2007M05,15.3,6.8,11.1,21.2,0.3
2007M06,17,9.6,13.3,22.3,4.6
2007M07,18.2,10.4,14.3,21,6.4
2007M08,18.7,10.7,14.7,22.8,6.2
2007M09,17.1,9.9,13.5,21.8,1.2
2007M10,15.1,7.1,11.1,18.1,-0.3
2007M11,11.2,5.9,8.6,16.4,-1.4
2007M12,9.7,3,6.4,14.7,-3.7
2008M01,9.6,3.5,6.6,14.3,-2.1
2008M02,9.8,1.8,5.8,14.1,-6.7
2008M03,9.8,2.5,6.2,12.6,-3.7
2008M04,11.7,3.8,7.8,16.5,-1.4
2008M05,16.1,7.7,11.9,21.4,0.6
2008M06,17.3,8.6,13,22.3,2.9
2008M07,18.7,11.5,15.1,22.1,4.6
2008M08,18.5,12.1,15.3,21.5,7
2008M09,16.4,8.9,12.7,19.5,3.8
2008M10,12.5,5.8,9.2,17,-1.3
2008M11,9.4,4.3,6.9,13.1,-2.9
2008M12,7.4,1.3,4.4,12.2,-3.5
2009M01,7.2,1.2,4.2,11.8,-4.2
2009M02,7.7,2.5,5.1,12.7,-3
2009M03,10.8,3.3,7.1,14.7,-3.8
2009M04,12.5,4.8,8.7,16.8,-0.9
2009M05,15.1,7.3,11.2,20.8,3.2
2009M06,18.3,8.6,13.5,24.5,3.5
2009M07,18.8,11.2,15,22.5,7
2009M08,19.3,12,15.7,22.4,7.9
2009M09,16.7,8.9,12.8,19,2.7
2009M10,14.5,7.9,11.2,17.7,1.2
2009M11,10.4,4.6,7.5,14.6,-0.9
2009M12,6.5,0.4,3.5,13.1,-6.6
2010M01,4.9,-1.2,1.9,11.5,-9.5
2010M02,5.9,-1.1,2.4,9.3,-6.6
2010M03,9.8,0.8,5.3,14.3,-7.3
2010M04,12.9,2.8,7.9,17.7,-3.8
2010M05,14.7,5.1,9.9,23.5,-1
2010M06,19.2,9.5,14.4,23.4,4.8
2010M07,19.6,12.4,16,24,8.6
2010M08,18.4,10.2,14.3,21.5,2.4
2010M09,17,9.6,13.3,20.9,2.7
2010M10,13.9,6.6,10.3,18.7,-3.3
2010M11,8.3,2,5.2,15.9,-8.4
2010M12,3.6,-3.7,0,11.7,-12.2
2011M01,6.7,0.8,3.8,12.5,-6.8
2011M02,10.3,3.5,6.9,14.7,-1.7
2011M03,10.8,1.4,6.1,15.6,-5.4
2011M04,15.3,5.5,10.4,20.3,-0.1
2011M05,15.1,8.2,11.7,17.6,3.8
2011M06,17,7.8,12.4,23.3,2.1
2011M07,18.4,9.7,14.1,22.3,4.9
2011M08,17.9,9.9,13.9,21.8,4.6
2011M09,17.4,10.9,14.2,24.1,3.9
2011M10,15.1,9.2,12.2,20.4,3
2011M11,12.7,6.5,9.6,15.1,-2
2011M12,8.4,3,5.7,13.3,-2.4
2012M01,8.8,4,6.4,12.2,-3
2012M02,9.3,3.9,6.6,14.1,-6.1
2012M03,12.3,4.3,8.3,18.7,-1.8
2012M04,10.5,3.1,6.8,13.8,-1.5
2012M05,14.3,5.9,10.1,21,-3
2012M06,16.3,9.5,12.9,22.9,3.8
2012M07,18,10.5,14.3,23.7,4.9
2012M08,19.2,12,15.6,22.2,7
2012M09,16.2,8.8,12.5,22.2,0.5
2012M10,11.8,5.4,8.6,14.7,-0.6
2012M11,9.5,3.3,6.4,14.2,-2.4
2012M12,8.3,2.3,5.3,13.8,-3.3
2013M01,7.8,1.9,4.8,13.8,-5.3
2013M02,7.2,1.6,4.4,13,-3.3
2013M03,6,0.6,3.3,9.9,-3.8
2013M04,11.1,3,7.1,16.6,-5.6
2013M05,14.5,6.2,10.4,19.6,-0.5
2013M06,17.9,8.2,13,22.2,4
2013M07,21.9,11.8,16.8,26.2,8.5
2013M08,19.8,11.9,15.9,22.9,7.9
2013M09,17,9.8,13.4,23.3,3.5
2013M10,14.7,9,11.8,19.4,1.8
2013M11,9.3,3.4,6.3,13.9,-2.9
2013M12,10.1,3.9,7,15,0.7
2014M01,8.6,3,5.8,12.9,-1.5
2014M02,8.6,2.6,5.6,12,-2.5
2014M03,10.6,3.4,7,15.4,-3.3
2014M04,13.6,4.9,9.3,16.4,-1.1
2014M05,15.3,7.9,11.6,20.3,1.7
2014M06,18.6,9,13.8,23.5,3
2014M07,20.6,11.6,16.1,24.1,5.1
2014M08,18,10.3,14.1,21.6,3.3
2014M09,17.8,9,13.4,22,3.7
2014M10,14.7,7.8,11.3,18.9,-0.6
2014M11,10.8,4.4,7.6,15,-2.4
2014M12,8,2.2,5.1,13.2,-3.9
2015M01,7.5,1.2,4.4,14.4,-6
2015M02,7.3,0.8,4,12.6,-7.9
2015M03,9.9,2.1,6,14.2,-4
2015M04,13,2.3,7.6,18.1,-2.7
2015M05,13.9,5.9,9.9,18.4,0.5
2015M06,17.7,8.7,13.2,24.7,0.7
2015M07,18.2,10.1,14.1,23.4,3.9
2015M08,18.3,10,14.1,23.3,3.8
2015M09,15.7,8.3,12,17.3,3.9
2015M10,14,6.7,10.3,17.7,-0.3
2015M11,12.2,5.7,9,16.8,-1.7
2015M12,11.4,5.3,8.3,15.5,-1.6
2016M01,8.7,3,5.9,15.2,-0.8
2016M02,8,1.5,4.8,11.7,-5.5
2016M03,9.7,2.6,6.1,13.9,-4
2016M04,10.6,2.9,6.7,13.5,-2.7
2016M05,15.7,7,11.3,20.5,1.7
2016M06,18.2,10.2,14.2,21.7,2.5
2016M07,19.9,11.9,15.9,26.3,7.1
2016M08,19.4,11.8,15.6,23.1,6.4
2016M09,18.1,10.9,14.5,25.1,5.4
2016M10,13.7,7.5,10.6,16.6,1.9
2016M11,8.9,2.5,5.7,15.7,-2.6
2016M12,10.2,3.5,6.9,15.3,-2.3
2017M01,8.2,3,5.6,11.9,-4.8
2017M02,9.2,3.3,6.2,12.9,-3.9
2017M03,11.4,4.7,8.1,16.3,-1.7
2017M04,12.4,4.6,8.5,16.5,-1.2
2017M05,16.6,7.5,12,23.2,-1.5
2017M06,18.7,10.7,14.7,26.3,3.7
2017M07,19.5,11,15.2,24.2,6
2017M08,18.7,10.7,14.7,21.8,4.9
2017M09,16.5,9.1,12.8,18.9,4.5
2017M10,14.8,8.2,11.5,19.5,0.8
2017M11,9.3,3.7,6.5,14.1,-0.4
2017M12,8,2.4,5.2,13.6,-4.8
2018M01,8.3,2,5.2,13.1,-3.2
2018M02,6.8,0.1,3.5,12,-3.4
2018M03,7.6,1.2,4.4,11.9,-5.1
2018M04,12,4.6,8.3,18.8,-2.1
2018M05,16.7,6.7,11.7,22.2,0.4
2018M06,20.3,9.1,14.7,26.5,3.8
2018M07,21.6,11.1,16.4,26.7,5.2
2018M08,19.9,11.4,15.7,25.1,3.9
2018M09,16.6,8.5,12.6,23,0.4
2018M10,13.3,6.1,9.7,19.2,-4.7
2018M11,11.3,5.3,8.3,15.3,1.1
2018M12,10.3,5.3,7.8,13.4,0.8
2019M01,7.9,2.8,5.4,11.3,-5.8
2019M02,11.3,3.3,7.3,15.6,-3.8
2019M03,11.3,3.9,7.6,16.8,-2.1
2019M04,12.1,4.4,8.2,21.7,-0.8
2019M05,14.8,6.1,10.4,20.9,-0.8
2019M06,16.5,8.8,12.7,22.7,2
2019M07,20.5,11.9,16.2,24.9,4.4
2019M08,19.9,11.6,15.7,22,7.8
2019M09,17.6,9.3,13.4,20.9,3.4
2019M10,12.3,5.4,8.8,15.8,-1.4
2019M11,8.9,3.2,6,13.4,-2.4
2019M12,9.2,3.2,6.2,13.8,-2.9
2020M01,9.3,3.2,6.3,14.2,-2.5
2020M02,9.1,2.6,5.8,13.4,-2.3
2020M03,10.1,2.1,6.1,15,-3.9
2020M04,13.4,4.2,8.8,19.4,-2.5
2020M05,16.3,6.3,11.3,21.5,-2.6
2020M06,17.7,9.5,13.6,25,3.8
2020M07,18.2,11,14.6,23.1,5
2020M08,18.7,11.3,15,24,3.8
2020M09,17,9.4,13.2,22.7,0.9
2020M10,12.9,6.6,9.7,15.2,0.3
2020M11,11.3,5.2,8.3,16,-1.2
2020M12,7.5,2.2,4.9,14.2,-4.4
2021M01,6.2,0.8,3.5,11.1,-5.9
2021M02,8.7,3.5,6.1,12.7,-0.6
2021M03,10.8,3.9,7.3,16.4,-3.5
2021M04,10.9,1,6,16.1,-4.7
2021M05,14.1,4.7,9.4,20.4,-1.9
2021M06,18.7,9.2,14,23.7,2.9
2021M07,20.8,11.7,16.2,26.8,6.1
2021M08,18.6,11.2,14.9,21.8,7.1
2021M09,18.7,11.5,15.1,22.9,5
2021M10,15,9,12,20.2,3.6
2021M11,10.6,4.9,7.8,16.4,-1.2
2021M12,9.6,3.9,6.8,14.8,-1.4
2022M01,8.8,2.6,5.7,13.3,-4
2022M02,9.8,3.9,6.8,13.5,0.3
2022M03,11.5,2,6.7,17.6,-4.4
2022M04,12.6,3.2,7.9,17.3,-3.7
2022M05,16.3,8.1,12.2,19.9,2.3
2022M06,17.7,9.8,13.8,22.6,2.3
2022M07,21,12.2,16.6,29.1,6.6
2022M08,21.3,11.1,16.2,26.3,6
2022M09,17.2,9.5,13.3,20.1,3.1
2022M10,15.6,9,12.3,18,1.3
2022M11,12,5.9,8.9,16.5,-0.8
2022M12,7.5,1.8,4.7,14.7,-4.2
