Island of Ireland precipitation (IIP) National series (averaged monthly precipitation of the 25 station series),,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,173,53.2,106.6,104.9,114.2,71.8,24.3,37.1,107.1,124.3,120.4,80.7
1914,59.6,149.9,125.5,45.8,52.1,31.5,85.4,125.8,62.7,56.3,117.7,211
1915,102.7,140.3,31.1,55.7,47.3,48.9,134.2,83.2,49.4,118.4,89.2,170.3
1916,75.5,122.5,58.6,94.8,113.8,66.3,59.6,84.5,55.2,206.2,162.9,93.6
1917,62.1,48.4,83.2,48.5,87.6,60.3,67.9,195.7,56.7,139.6,99.3,71.2
1918,102,124.1,53,38.9,64.3,45.5,100.4,76.3,174,120.7,97.4,145.2
1919,116.6,64.3,80.7,48.8,78.7,66.3,34.3,82,73.6,38,73.2,160.9
1920,144.3,66.9,102,102.6,103.5,53.7,125.4,70.3,66.5,130.4,105.1,104.1
1921,110.5,47.2,94.7,26.1,60.5,8.4,106.6,112.5,41.6,86.3,110.8,91.8
1922,120.5,108.7,58.8,82.1,49.6,46.9,93.6,111.6,88.5,39.1,50.6,111
1923,82.9,174.1,70.5,97.2,46.2,29.1,79.3,156.8,108.4,123.1,97.6,98.9
1924,152.6,48.3,36.1,86.5,104.3,98.3,107.8,118.7,164,100.4,111.1,165.7
1925,118,123,27,106.5,132.2,15.6,89.3,72.8,76.4,105.5,73.1,85.7
1926,183.1,90.9,42.4,63.3,84.9,76.3,79.8,88.3,59.1,92,145.4,31.1
1927,127.3,72.7,109.5,48.6,47.7,93.3,97.4,138.8,115,87.5,101.7,105.1
1928,155,101.2,131.9,68.1,45.5,144.8,50.6,138.9,67.5,172.5,146.1,115
1929,56.4,135.2,20,34.2,76.3,57.5,100.1,117.3,32.1,125.9,160.9,219.1
1930,155.5,28.8,125.3,53.1,53.3,59.4,89.4,158.7,115.6,160.5,121.2,117.1
1931,83.4,82.9,95.2,78.3,117.7,116.8,103.6,86.2,77.7,55.6,197.5,77.1
1932,122,7.3,62.1,86.3,89.7,40.8,119.5,62.2,84.1,111.4,61.7,167
1933,93.3,87.8,84.5,44.7,84.3,66.2,76.3,52.1,33.9,87.9,50.5,59.6
1934,108.1,8.3,94.9,80.6,69.1,51.3,54.4,125.9,160.9,118.3,43.8,188.4
